scientificName,n,doiORurl,publicationYear,Title of paper,Notes
"Ammobates dusmeti Popov, 1951",1,https://www.iucnredlist.org/species/19198593/21145031#population,2013,,The only pop estimate I can see comes from the IUCN listing  under the population tab. Not super clear if this was one individual or one occurance record from population descirption. 
Hoplitis quettensis,NA,https://www.cabidigitallibrary.org/doi/full/10.5555/20013015100,NA,,Didn’t have access need to check if UoW does?
"Coelioxys castaneus Morawitz, 1886",NA,https://doi.org/10.25221/fee.428.3 ,2021,,Azerbaijan study did not record any individuals
"Anthophora tedshenensis Radoszkowski, 1893",NA,NA,NA,,
"Lasioglossum adriani Genaro, 2001",2,https://www.researchgate.net/publication/242410158,2001,"title of paper (only pdf) Genaro, J.A., 2001. Tres especies nuevas del género Lasioglossum (Dialictus), grupo Habralictellus para Cuba (Hymenoptera: Halictidae). Solenodon, 1, pp.38-44.","Cuba type specimen. Collector A, Gonzalez Aug 2000, Sierra de Gabino, Sierra de Guane, Pinar del Río, Cuba. Paper is Spanish, not sure if theer is a number of individuals caught any where in the paper"
"Nomioides abudhabiensis Pesenko and Pauly, 2009",1,NA,2009,"Pesenko, Y.A. and Pauly, A., 2009. A contribution to the fauna of the Nomioidine bees of the Arabian Peninsula (Hymenoptera: Halictidae). Fauna of Arabia, 24, pp.217-236.",Couldn’t see anywhere in the paper that mentions the number observed
Nomioides socotranus,6,https://www.aemnp.eu/acta-entomologica/volume-57-s/1723/bees-of-the-socotra-archipelago-hymenoptera-anthophila-their-biogeography-and-association-with-parasites.html,2017,Descriptions from 3 males and 3 females only,
"Austronomia petterssoni Pauly, 1991",1,https://doi.org/10.1080/21686351.1991.12277639,1991,CLASSIFICATION DES HALICTIDAE DE MADAGASCAR II. NOMIINAE (HYMENOPTERA : APOIDEA) ,
Leioproctus chalybaeus,2,Die Bienen Afrikas nach dem Stande unserer heutigen Kenntnisse,1909,Biodiversity Heritage Library ,
"Ceratina atra Friese, 1917",NA,NA,NA,"Checked Biod heritage library, nothing published in 1917",
"Nomada pyrgosica Schwarz and Smit, 2018",1,https://www.mapress.com/zt/article/view/zootaxa.5327.1.1,2023,"Holotype female, Only cited in DOI:10.11646/zootaxa.5327.1.1",
"Systropha martiali Patiny and Michez, 2007",1,"Patiny, S. and Michez, D., 2007. New insights on the distribution and floral choices of Systropha Illiger, 1806 in Africa (Hymenoptera, Apoidea), with description of a new species from Sudan. Zootaxa, 1461(1), pp.59-68.",2007,1 male ,
Hoplitis sinuata,,"Lhomme, P., Michez, D., Christmann, S., Scheuchl, E., El Abdouni, I., Hamroud, L., Ihsane, O., Sentil, A., Smaili, M.C., Schwarz, M. and Dathe, H.H., 2020. The wild bees (Hymenoptera: Apoidea) of Morocco. Zootaxa, 4892(1).",,"Only mention found in Lhomme et al 2020, 1 male holotype page 100",
"Austronomia inamoena (Benoist, 1950)",NA,NA,NA,"Now Lipotriches inamoena, cant find any mention inBiodiversity heriatge or online resources",
"Anthophora bogutensis (Marikovskaya, 1976)",NA,NA,NA,"Synonym paramegilla bogutensis, cant seem to find the original description",
"Colletes pseudomirabilis Kuhlmann and Proshchalykin, 2014",1,"Kuhlmann, M. and Proshchalykin, M.Y., 2014. New and little known bees of the genus Colletes Latreille 1802 (Hymenoptera: Colletidae) from Central Asia. Zootaxa, 3846(4), pp.591-596.",2014,1 male holotype,
"Megachile atahualpa Schrottky, 1913",1,DOI:10.11646/zootaxa.2282.1.1,2009,"1 female. Rasmussen, Claus & Garcete Barrett, Bolívar Rafael & Gonçalves, Rodrigo. (2009). Curt Schrottky (1874–1937): South American entomology at the beginning of the 20th century (Hymenoptera, Lepidoptera, Diptera). Zootaxa. 2282. 1-50. 10.11646/zootaxa.2282.1.1. ",
"Hypanthidioides nigripes_homonym (Urban, 1996)",2,https://doi.org/10.1590/S0101-81751996000100011,1996,Paper in Portuguese but also the species name in the paper seems to be Mielkeanlhidium nigripes. It also refers to Megchilidae as well ,
"Hylaeus nigricollis Morawitz, 1876",5,DOI: 10.11646/ZOOTAXA.4227.1.1,2017,Don’t consider the synonym Hylaeus nigricollis with H. distingguendas to be correct. 5 bees in total from description but look to be from different people.  P29,
Augochlorodes clementis,1,https://doi.org/10.1080/00222930802105148,2008,Others collected by Moure but doesn’t really indicate if they or all werent the same species. ,
"Austronomia browni Pauly, 2009",NA,NA,NA,"Could be in this paper but don’t have access Pauly, A., 2009. Classification of Nomiinae the Eastern Region, New Guinea and the islands of the Pacific Ocean (Hymenoptera: Apoidea: Halictidae).",
