scientificName,n,doiORurl,publicationYear,Notes
"Larinostelis scapulata Michener and Griswold, 1994",1,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1185&context=bee_lab_mi,1994,
"Sphecodes manchurianus Strand and Yasumatsu, 1938",1,https://zookeys.pensoft.net/article/28042/,2018,
"Megachile goegabensis Eardley, 2013",1,https://mapress.com/zt/article/view/zootaxa.3601.1.1,2013,
"Andrena chirisana Tadauchi, 1992",1,https://www.researchgate.net/publication/287422194_A_Revision_of_the_Subgenus_Micrandrena_of_the_Genus_Andrena_of_Eastern_Asia_Hymenoptera_Apoidea_Andrenidae,2011,
"Exomalopsis neglecta Buysson, 1892",1,https://www.jstor.org/stable/41767919,1899,
"Lipotriches karibibensis Pauly, 2014",30,https://www.researchgate.net/publication/283854274_Les_Abeilles_des_Graminees_ou_Lipotriches_Gerstaecker_1858_sensu_stricto_Hymenoptera_Apoidea_Halictidae_Nomiinae_de_l'Afrique_subsaharienne,2014,
"Anthophora albotibialis Wu, 2000",4,Wu 2000 book,2000,
"Lasioglossum sutshanicum Pesenko, 1986",1,https://www.zobodat.at/pdf/LBB_0030_1_0365-0430.pdf,1998,
"Hylaeus momunganicus (Hedicke, 1926)",NA,NA,NA,
"Palaeorhiza excavata Hirashima and Abe, 1996",NA,https://cir.nii.ac.jp/crid/1520290885475943552,1996,
"Paratetrapedia amazonensis (Aguiar and Melo, 2015)",NA,NA,NA,
"Andrena orizabibia Strand, 1919",6,10.21248/contrib.entomol.55.1.151-250,2005,
Lasioglossum salwinicum,NA,NA,NA,
"Megachile hei Wu, 2005",5,"Acta Zootaxonomica Sinica , 30 (1) : 155 - 165 (J an. , 2005)",2005,
"Nomada umbrosa Schmiedeknecht, 1882",2,https://www.zobodat.at/pdf/LBB_0047_1_1003-1044.pdf,2015,
"Andrena efeana Scheuchl and Hazir, 2012",8,http://www.atlashymenoptera.net/biblio/01500/Scheuchl_2012_Three_new_Andrena.pdf,2012,
"Hylaeus cockerelli (Schrottky, 1906)",NA,NA,NA,
"Bombus validus Friese, 1905",5,https://doi.org/10.5852/ejt.2023.892.2283,2023,
Thrinchostoma brunneum,1,http://www.atlashymenoptera.net/biblio/01000/Michener%20&%20Engel%20Thrinchostoma%202010.pdf,2010,
"Megachile reepeni Friese, 1918",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Lasioglossum imbriumbrae Gardner and Gibbs, 2020",9,https://doi.org/10.5852/ejt.2020.725.1167,2020,
"Pseudagapostemon jujuyensis Cure, 1989",NA,NA,NA,
"Andrena banchan Xu and Tadauchi, 2009",8,https://www.researchgate.net/profile/Huan-Li-Xu/publication/287422427_A_Revision_Of_The_Subgenus_Leucandrena_Of_The_Genus_Andrena_Of_Eastern_Asia_Hymenoptera_Apoidea_Andrenidae/links/5b85f71e299bf1d5a72ea97f/A-Revision-Of-The-Subgenus-Leucandrena-Of-The-Genus-Andrena-Of-Eastern-Asia-Hymenoptera-Apoidea-Andrenidae.pdf,2009,
"Centris aymara Vivallo, 2020",NA,NA,NA,
Osmia picena,4,"https://blogs.ethz.ch/osmiini/2010/08/06/unknown-male-of-osmia-picena-discovered/, http://www.atlashymenoptera.net/biblio/01500/Ungricht_et_al_2008_Osmiini_Catalogue.pdf",2010,
"Heriades ellenbergeri Benoist, 1931",1,https://www.tandfonline.com/action/showCitFormats?doi=10.1080/21686351.1931.12280124,1931,
"Perdita cochiseana Timberlake, 1971",1,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1053&context=bee_lab_th,1971,
Corynura callaina,29,https://doi.org/10.3897/asp.75.e31917,2017,
Perditomorpha friesei,NA,NA,NA,
"Patellapis flavofasciata (Friese, 1915)",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Lasioglossum speculum (Benoist, 1964)",2,http://www.atlashymenoptera.net/biblio/00500/Pauly_et_al_2001_Apoidea_Madagascar%20OCR_compact.pdf,2001,
"Hoplitis fascicularia (Radoszkowski, 1886)",6,https://www.researchgate.net/publication/360373950_New_records_of_bees_of_the_genus_Hoplitis_Klug_1807_Hymenoptera_Megachilidae_from_Central_Asia,2022,
"Chiasmognathus rhagae Engel, 2008",1,https://doi.org/10.21248/contrib.entomol.58.2.223-226,2008,
"Andrena chekiangensis Wu, 1977",4,wu 1977,1977,
"Halictus albozonatus Dours, 1872",3,http://www.atlashymenoptera.net/page.aspx?id=70,2016,
"Megachile acutiventris Friese, 1903",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Hoplitis tkalcuella Le Goff, 2003",6,https://www.persee.fr/doc/bsef_0037-928x_2003_num_108_1_16924,2003,
"Anthophora melanopyga Fedtschenko, 1875",1,http://www.atlashymenoptera.net/biblio/01000/Friese_1897_Die%20Bienen%20Europas_III_Podalirius_full.pdf,1897,
"Austronomia lucidula (Vachal, 1910)",1,https://doi.org/10.11646/zootaxa.3442.1.1,2012,
"Nomada abnormipes Schwarz and Smit, 2020",2,https://www.zobodat.at/pdf/LBB_0052_1_0683-0694.pdf,2020,
"Halictus orientanus (Devalez and Pauly, 2015)",65,https://www.researchgate.net/profile/Jean-Luc-Boeve/publication/283354628_DNA_barcoding_and_male_genital_morphology_reveal_five_new_cryptic_species_in_the_West_Palearctic_bee_Seladonia_smaragdula_Vachal_1895_Hymenoptera_Apoidea_Halictidae/links/56e0079108ae979addf0e139/DNA-barcoding-and-male-genital-morphology-reveal-five-new-cryptic-species-in-the-West-Palearctic-bee-Seladonia-smaragdula-Vachal-1895-Hymenoptera-Apoidea-Halictidae.pdf,2015,
"Coelioxys ambrosettii Holmberg, 1918",1,https://doi.org/10.3161/00034541ANZ2015.65.4.011,2015,
"Tetraloniella viciniformis (Kerenskij, 1919)",6,https://www.researchgate.net/profile/Maxim-Proshchalykin/publication/337780792_The_species-group_names_of_bees_Hymenoptera_Apoidea_Apiformes_described_from_Crimea_North_Caucasus_European_part_of_Russia_and_Ural_Part_III_Families_Melittidae_and_Apidae_Except_Bombus_Latreille_and_/links/5de9b132299bf10bc3437038/The-species-group-names-of-bees-Hymenoptera-Apoidea-Apiformes-described-from-Crimea-North-Caucasus-European-part-of-Russia-and-Ural-Part-III-Families-Melittidae-and-Apidae-Except-Bombus-Latreille-a.pdf,2019,
"Halictus turkmenorum Pesenko, 1984",1,https://doi.org/10.11646/zootaxa.4790.3.1,2020,
"Monoeca campestris Aguiar, 2012",21,https://mapress.com/zt/article/view/zootaxa.3564.1.2,2012,
"Austrothurgus malgaru Gonzalez, Engel and Griswold, 2013",1,https://doi.org/10.17161/jom.v0i11.4520,2013,
"Chelostoma carinoclypeatum Wu, 1993",5,https://blogs.ethz.ch/osmiini/palaearctic-species/chelostoma/ceraheriades/,2024,
"Liphanthus sparsipunctus Packer, 2019",1,https://doi.org/10.11646/zootaxa.4645.1.1,2019,
"Melanomia melanosoma (Benoist, 1964)",5,http://www.atlashymenoptera.net/biblio/00500/Pauly_et_al_2001_Apoidea_Madagascar%20OCR_compact.pdf,2001,
"Austronomia analis_homonym (Benoist, 1964)",NA,NA,NA,
"Lasioglossum magdalena (Baker, 1906)",NA,NA,NA,
"Sphecodes sandykachis Astafurova and Proshchalykin, 2018",9,https://doi.org/10.11646/zootaxa.4441.1.4,2018,
"Augochlora_sensu_lato leprieurii (Spinola, 1841)",NA,NA,NA,
"Amegilla simbana (Cockerell, 1936)",1,because I said so,1936,
"Perdita fidissima Timberlake, 1968",1,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1816&context=piru_pubs,1968,
"Hylaeus wuae Chen and Xu, 2013",6,https://zenodo.org/records/5267541,2013,
"Andrena euphorbiacea Scheuchl, 2005",7,http://www.atlashymenoptera.net/biblio/01500/Gruenwaldt_et_al_2005_Neue_Andrena_arten.pdf,2005,
"Chilicola unicarinata Packer, 2007",NA,https://doi.org/10.11646/zootaxa.1468.1.1,2007,
"Lasioglossum cinctulum (Cockerell, 1945)",NA,"he had at least 4-5 papers describing halictids that year and none of them included this one, what a terribly random and haphazard researcher",NA,
"Centris aeruginosa Vivallo, 2022",NA,book,NA,
"Halictus secundus Dalla Torre, 1896",1,NA,NA,
"Centris milluni Vivallo, 2020",NA,another book,NA,
"Maynenomia adamaouaensis Pauly and Soukontoua, 2016",13,https://www.researchgate.net/publication/294781615_Deux_nouvelles_especes_d'abeilles_du_Massif_de_l'Adamaoua_au_Cameroun_Hymenoptera_Apoidea_Halictidae_Nomiinae,2016,
"Hylaeus rubosus (Warncke, 1981)",3,https://doi.org/ 10.21248/contrib.entomol.70.2.273-346,2020,
"Megachile plumata Wu, 2005",2,wu 2005,2005,
"Coelioxys xinjiangensis Wu, 2006",3,wu 2006 book,2006,
"Leioproctus anthedonus Maynard, 2013",1,http://dx.doi.org/10.11646/zootaxa.3715.1.1,2013,
"Lisotrigona mohandasi Jobiraj and Narendran, 2004",3,https://doi.org/ 10.11646/zootaxa.3647.3.1,2013,
Colletes pannonicus,1,https://www.researchgate.net/publication/282505141_Preliminary_description_of_Colletes_pannonicus_novsp_a_member_of_the_Colletes_succinctus_group_from_Eastern_Austria_Insecta_Hymenoptera_Colletidae,2011,
"Ceratina aenescens Friese, 1917",3,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Hylaeus nigricans (Friese, 1913)",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Ptiloglossa psednozona Moure, 1947",2,https://openprairie.sdstate.edu/cgi/viewcontent.cgi?referer=&httpsredir=1&article=2893&context=etd,2015,
"Doeringiella hebes Roig-Alsina, 1989",NA,NA,NA,
"Ancyla nitida Friese, 1902",2,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
