scientificName,n,doiORurl,publicationYear,Notes
"Macronomia katonana (Strand, 1913)",2,biodiversitylibrary.org/page/13320473,1913,"originally Nomia katonana, then Lipotriches. Combined in Eardley and  Urban 2006, African Entomology 14(1):161-174"
"Noteriades spinosa Griswold and Gonzalez, 2011",10,10.3897/zookeys.159.2283,2011,
"Augochlora mourei Michener, 1954",9,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1114&context=bee_lab_mc,1954,Originally Described as a subspecies under mulleri
"Hypanthidium costaricense (Friese, 1917)",6,https://www.biodiversitylibrary.org/page/8826443#page/741/mode/1up,1917,described under Anthidium
"Andrena paradisaea Warncke, 1975",3,https://doi.org/ 10.11646/zootaxa.4374.2.1,2018,
Lasioglossum xitle,1,https://doi.org/10.3161/000345412X652837,2012,
"Lasioglossum gedehense (Friese, 1914)",4,https://www.biodiversitylibrary.org/page/10860619#page/110/mode/1up,1914,description is in an appendix to the chapter
"Xylocopa punctigena Maa, 1938",6,faunaofindia.nic.in/PDFVolumes/records/040/03/0265-0329.pdf,1938,
"Paracorynurella difficillima (Ducke, 1906)",5,DOI:Ã‚Â 10.1111/j.1365-3113.2009.00491.x,2010,
Lasioglossum mergense,1,https://www.zobodat.at/pdf/Archiv-Naturgeschichte_90A_10_0086-0136.pdf,1925,
"Perditomorpha ferruginea (Moure, 1954)",NA,NA,NA,difficult to find reference
"Brachyglossula schlumpbergeri Compagnucci and Roig-Alsina, 2012",2,https://ri.conicet.gov.ar/bitstream/handle/11336/57120/CONICET_Digital_Nro.fd26667c-2a77-4f49-9802-8da7faca3686_A.pdf?sequence=2&isAllowed=y,2012,
"Megachile sladeni Friese, 1903",2,https://www.biodiversitylibrary.org/item/48816#page/269/mode/1up,1903,
"Halictus vansoni Cockerell, 1935",2,https://journals.co.za/doi/epdf/10.10520/AJA00411752_521,1935,
"Andrena persica Wood, 2021",3,10.11646/ZOOTAXA.4933.4.1,2021,
"Geodiscelis antiminera Ferrari, 2015",2,10.11646/zootaxa.4033.2.10,2015,
"Palaeorhiza malachisis (Smith, 1859)",1,https://archive.org/details/ants_10342/10342/,1859,theres some strangeness with friese also describing a prosopis malachisis (but this was synomyised under Palaeorhiza imperialis (Smith). See: https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1198&context=bee_lab_bo
"Psaenythia gerstaeckeri Friese, 1908",2,https://www.biodiversitylibrary.org/item/49778#page/42/mode/1up,1908,
"Lasioglossum congoense (Friese, 1921)",1,https://www.biodiversitylibrary.org/item/156413#page/556/mode/1up,1921,
"Euryglossa aulaca (Hogendoorn and Leijs, 2015)",14,https://doi.org/10.3897/zookeys.520.6185,2015,
"Mourecotelles subandinus (Toro and Cabezas, 1978)",2,https://bibliotecadigital.ciren.cl/server/api/core/bitstreams/f23ed05d-ae2c-486a-95e0-781a7685acca/content,1978,
"Osmia brevipes van der Zanden, 1994",3,https://archive.org/details/linzer-lbb-0026-2-1113-1124,1994,
"Anthidium calchaqui Gonzalez and Griswold, 2013",9,https://doi.org/10.1111/zoj.12017,2013,
"Ceylalictus sylvestris Pesenko and Pauly, 2001",4,http://www.atlashymenoptera.net/biblio/00500/Pauly_et_al_2001_Apoidea_Madagascar%20OCR_compact.pdf,2001,
"Maynenomia lonavlaensis Pauly, 2009",4,https://biblio.naturalsciences.be/rbins-publications/bulletin-of-the-royal-belgian-institute-of-natural-sciences-biologie/79-2009/entomologie-79-2009_151-229.pdf,2009,
"Austronomia parcana (Strand, 1913)",1,Type photo: http://twinsecttype.nmns.edu.tw/specimen/?id=NMNS-SDEI-01080,1913,"Journal article is this, but I can only find vol 1 & 2 on BHL: H Sauterâ€™s Formosa-Ausbeute Apidae I: Strand 1913  Supplementa Entomologica, No. 2, 1913."
"Hoplitis tenuicornis (Morawitz, 1875)",1,https://inpn.mnhn.fr/docs-web/docs/download/142870,1875,
"Ceratina egeria Nurse, 1904",2,https://www.biodiversitylibrary.org/item/18581#page/652/mode/thumb; https://doi.org/10.11646/zootaxa.2455.1.1,1904,now synonymised under nomioides (as of 2010 afrotropical catalogue)
"Augochlora_sensu_lato laneifrons (Vachal, 1911)",2,https://www.biotaxa.org/Zootaxa/article/view/zootaxa.3442.1.1,2012,
Lasioglossum atasus,NA,NA,NA,may be now described under atasum
"Megachile dalmeidai Moure, 1944",1,https://www.biodiversitylibrary.org/part/168109,1944,
"Megachile vandeveldii (Meunier, 1888)",1,https://www.biodiversitylibrary.org/page/3267501#page/1/mode/1up,1997,likely lost type & monobasic
"Andrena shteinbergi Osytshnjuk, 1993",2,https://www.zobodat.at/pdf/ENT_0021_0381-0454.pdf,2000,
"Andrena cyrenaica Kratochwil, 2015",3,https://www.zobodat.at/pdf/LBB_0047_2_1403-1437.pdf,2015,
"Flavomeliturgula berangeriae Patiny, 2002",1,https://www.researchgate.net/publication/233843836_New_species_of_Panurginae_Hymenoptera_Apoidea_Andrenidae_from_South_of_West-Palearctic,2002,
"Megachile varipes Vachal, 1908",1,https://www.biodiversitylibrary.org/item/81023#page/238/mode/1up (original); https://www.researchgate.net/publication/263543744_New_combinations_and_synonymies_of_leafcutter_and_mason_bees_of_the_Americas_Megachile_Hymenoptera_Megachilidae,1908,
"Liphanthus longicornis Tapia and Ruz, 2003",NA,https://www.unesc.net/portal/capa/index/300/5913,NA,can access book but this is the reference
"Andrena maximiliani Scheuchl, 2009",3,https://www.zobodat.at/pdf/LBB_0041_1_0963-0968.pdf,2009,
