scientificName,n,doiORurl,publicationYear,Notes
"Ceratina fimbriata Roig-Alsina, 2013",1,https://doi.org/10.22179/REVMACN.15.174,2013,
"Lasioglossum leucorhinus (Cockerell, 1926)",472,https://doi.org/10.11646/zootaxa.5408.1.1,2024,
"Andrena freidbergi Pisanty and Scheuchl, 2018",3,https://doi.org/10.11646/zootaxa.4374.2.1,2018,
"Stenoheriades bifida Griswold, 2018",2,https://doi.org/10.11646/zootaxa.4370.3.7,2018,
"Nomada nigritula Schwarz and Smit, 2018",3,https://www.zobodat.at/pdf/ENT_0039_0881-0908.pdf,2018,
"Stelis bengala Warncke, 1992",1,https://onlinelibrary.wiley.com/doi/epdf/10.1002/mmnd.4800460209,1999,
"Andrena jazleya Pohl and Larkin, 2006",2,https://doi.org/10.2317/0511.08.1,2006,
"Andrena banffensis Viereck, 1924",1,10.4039/ent118287-4,1986,
"Eoanthidium flavifrontale Kasparek, 2021",9,https://www.tandfonline.com/doi/epdf/10.1080/00222933.2021.1977406?needAccess=true,2022,
"Colletes stachi Noskiewicz, 1958",3,https://www.researchgate.net/profile/Michael-Kuhlmann/publication/282899936_New_and_remarkable_Asian_and_North_African_species_of_Colletes_Latreille_Hymenoptera_Colletidae/links/57876b8608ae78057de18f40/New-and-remarkable-Asian-and-North-African-species-of-Colletes-Latreille-Hymenoptera-Colletidae.pdf,1958,
"Colletes inspersus Niu, Zhu and Kuhlmann, 2013",2,https://www.researchgate.net/publication/259081677_Bees_of_the_Colletes_clypearis-group_Hymenoptera_Apoidea_Colletidae_from_China_with_descriptions_of_seven_new_species,2013,
"Palaeorhiza trigona Hirashima and Lieftinck, 1983",6,https://catalog.lib.kyushu-u.ac.jp/opac_download_md/2439/93.pdf,1983,
"Xylocopa mongolicus (Wu, 1983)",,NA,NA,couldn’t find
"Lipotriches postcarinata Pauly, 2009",,https://www.cabidigitallibrary.org/doi/full/10.5555/20103249486,NA,paywall
"Megachile swarbrecki Rayment, 1946",,"Rayment, T. 1946. Native bees on Mount Buffalo. With description of a new subspecies",NA,couldn’t find
"Coelioxys iranicus Warncke, 1992",7,https://d1wqtxts1xzle7.cloudfront.net/51810854/The_nominal_taxa_described_by_K._Warncke20170215-24913-rkbvnz-libre.pdf?1487190718=&response-content-disposition=inline%3B+filename%3DThe_nominal_taxa_described_by_K_Warncke.pdf&Expires=1717485291&Signature=EpVbgMclYYjZ8V4WjfjHto22ltKI4wnT6gublS3nsztSen1g-nlyUdhyWcjFqlVlE1t7anzfaJ1wQGQTjBGiase~1ET2YPzzFU1NwbrFEVP4yidPzDDuZkob2E1HDIU8sULyqWx7r6w4At441oAnBm20YlJSO4tP5WwYcp8h4VFqXB77UlSFY0R7P-3CPHGZcGtBX8ZsoyXaUoEdZlSScyNzSLSpoRNG0KH8vrtZbgBbdjDWDUfvvWhRuX1O-OFnHyX7lhMKkp~T0b2Z45khgID8~Kv8WppEilIZO9gN-xPYUf8l1dloVgF2KBxD2vulD0VtB5cpEeWHLpAW9Pq9XQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,1992,
"Andrena kotenkoi Osytshnjuk, 1994",,NA,NA,couldn’t find
"Centris lemniscata Vivallo, 2022",,https://www.researchgate.net/publication/363070858_The_oil-collecting_bees_of_Centris_Melanocentris_Hymenoptera_Apidae,2022,its in a book I cant access
"Patellapis subpatricia (Strand, 1911)",,NA,NA,"Halictus subpatricius, cant find"
"Goniocolletes dasypus Maynard, 2013",10,https://www.biotaxa.org/Zootaxa/article/view/zootaxa.3715.1.1,2013,
"Nomiocolletes arnaui Moure, 1949",NA,NA,NA,
"Augochloropsis gemmicauda (Cockerell, 1931)",,https://www.tandfonline.com/doi/pdf/10.1080/00222933108673437,NA,paywall
"Andrena nitidicollis Morawitz, 1876",2,doi: 10.3897/zookeys.1120.90206 ,2022,
"Melissoptila mirnae Urban, 1998",NA,NA,NA,
Augochlorella procliva,2,https://doi.org/10.1016/j.rbe.2018.12.003 ,2019,
"Anthophora selecta Priesner, 1957",1,http://www.atlashymenoptera.net/biblio/01500/Priesner_1957_Anthophora_species_of_Egypt_COMPACT.pdf,1957,
"Rhathymus concolor Friese, 1921",NA,NA,NA,
"Goniocolletes ciliatus Maynard, 2013",4,https://www.biotaxa.org/Zootaxa/article/view/zootaxa.3715.1.1,2013,
"Megachile subatrella Rayment, 1939",NA,NA,NA,
"Andrena kathmanduensis Tadauchi and Matsumura, 2007",2,https://doi.org/10.1016/j.japb.2022.01.007,2022,
"Megachile joseana Friese, 1917",NA,NA,NA,
"Pseudoanthidium amoenum (Pasteels, 1969)",NA,NA,NA,
"Microsphecodes stenochorus Engel, 2013",1,https://kuscholarworks.ku.edu/bitstream/handle/1808/14431/Engel_MicrosphecodesPeru.pdf?sequence=1&isAllowed=y,2013,
"Andrena tsingtauica Strand, 1915",1,https://doi.org/10.5109/2626 ,1998,
"Mexalictus hondurensis Dumesh, 2013",1,https://www.researchgate.net/profile/Sheila-Dumesh-2/publication/266969278_Revision_of_the_rare_Mesoamerican_bee_genus_Mexalictus_Hymenoptera_Halictidae_with_the_description_of_21_new_species/links/544006f90cf2fd72f99dcd02/Revision-of-the-rare-Mesoamerican-bee-genus-Mexalictus-Hymenoptera-Halictidae-with-the-description-of-21-new-species.pdf,2013,
"Perdita boharti Portman and Griswold, 2016",98,https://www.biotaxa.org/Zootaxa/article/view/zootaxa.4097.4.8,2016,
"Andrena argyreofasciata Schmiedeknecht, 1900",,https://www.biodiversitylibrary.org/page/13452705#page/244/mode/1up,1900,no mention of numbers
Xylocopa distinguenda,NA,NA,NA,
"Andrena rudolfae Osytshnjuk, 1986",2,https://www.researchgate.net/profile/Maxim-Proshchalykin/publication/312494761_The_species-group_names_of_bees_Hymenoptera_Apoidea_Apiformes_described_from_Crimea_North_Caucasus_European_part_of_Russia_and_Ural_Part_II_Families_Andrenidae_and_Megachilidae/links/587f0b2508aed3826af466ca/The-species-group-names-of-bees-Hymenoptera-Apoidea-Apiformes-described-from-Crimea-North-Caucasus-European-part-of-Russia-and-Ural-Part-II-Families-Andrenidae-and-Megachilidae.pdf,2017,
"Nomiocolletes jenseni (Friese, 1906)",NA,NA,NA,
Eufriesea opulenta,NA,NA,NA,
"Colletes pallipes Noskiewicz, 1936",NA,NA,NA,
"Nomada ina Schwarz and Smit, 2018",NA,NA,NA,
"Lestrimelitta galvisi Guevara, Gonzalez and Ospina, 2020",7,http://www.scielo.org.co/pdf/cal/v42n1/0366-5232-cal-42-01-17.pdf,2020,
"Coelioxys yunnanensis Wu, 1993",NA,NA,NA,
"Tetralonioidella damenglongensis Niu and Zhu, 2017",1,10.11865/zs.201718,2017,
"Leioproctus xanthozoster Maynard, 1997",11,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1440-6055.1997.tb01446.x,1997,
"Reepenia zebrae (Friese, 1909)",NA,NA,NA,
"Centris hexirrhina Vivallo, 2020",,https://www.researchgate.net/publication/363070676_The_oil-collecting_bees_of_Centris_Paracentris,2020,its in a book I cant access
"Megachile leucopogonites Moure, 1944",NA,NA,NA,
"Brachyglossula ancasti Roig-Alsina and Schlumpberger, 2008",9,https://doi.org/10.2317/JKES-706.19.1,2008,
"Lasioglossum furunculum Gibbs, 2011",1,https://journal.lib.uoguelph.ca/index.php/eso/article/view/3692,2015,
"Andrena tatjanae Osytshnjuk, 1995",1,https://kmkjournals.com/upload/PDF/EEJ/13/EEJ13_5_481_488_Proshalykin.pdf,2014,
"Andrena nasipolita Strand, 1913",1,https://doi.org/10.5109/2626 ,1998,
"Megachile nasica Morawitz, 1880",NA,NA,NA,
"Lasioglossum omnipunctatum Ebmer, 2004",NA,NA,NA,
"Tetraloniella pachysoma (Cockerell, 1920)",NA,NA,NA,
"Eucera minulla Risch, 2003",NA,NA,NA,
"Andrena minor (Radoszkowski, 1891)",,NA,NA,CAN'T FIND
"Augochloropsis perimede (Schrottky, 1908)",1,https://www.researchgate.net/profile/Bolivar-Rafael-Garcete-Barrett/publication/231181706_Curt_Schrottky_1874-1937_South_American_entomology_at_the_beginning_of_the_20th_century_Hymenoptera_Lepidoptera_Diptera/links/0fcfd5064cf7424d32000000/Curt-Schrottky-1874-1937-South-American-entomology-at-the-beginning-of-the-20th-century-Hymenoptera-Lepidoptera-Diptera.pdf,1908,
"Anthophora sinensis (Wu, 1982)",,NA,NA,COULDN’T FIND
"Patellapis gabonensis (Pauly, 1989)",NA,NA,NA,
"Schmiedeknechtia oraniensis Friese, 1896",NA,NA,NA,
"Lasioglossum sextum (Cockerell, 1910)",NA,NA,NA,
"Palaeorhiza amoena Hirashima, 1981",NA,NA,NA,
"Ceratina loa Strand, 1912",1,https://www.biodiversitylibrary.org/page/56375780#page/412/mode/1up,1912,
"Amegilla subtorrida (Cockerell, 1947)",,https://doi.org/10.1080/00222934608654557,1947,pay-wall
"Halictonomia clidemiae Pauly, 2001",NA,NA,NA,
"Augochloropsis quadripectinata Strand, 1910",,NA,NA,COULDN’T FIND
Nomada magnilabris,NA,NA,NA,
"Megachile esakii Yasumatsu, 1935",NA,NA,NA,
"Ceratina fioreseana Oliveira, 2020",4,10.3897/zookeys.1006.57599,2020,
"Sphecodes friesei Herbst, 1908",NA,NA,NA,
"Dufourea latifemurinis (Wu, 1982)",NA,NA,NA,
"Hylaeus catulus (Warncke, 1972)",NA,NA,NA,
"Coelioxys floreus Wu, 2006",,https://www.nhbs.com/fauna-sinica-insecta-volume-44-hymenoptera-megachilidae-chinese-book,2006,its in a book I cant access
"Patellapis striata (Pauly, 1989)",NA,NA,NA,
"Megachile parabukamensis (Pasteels, 1965)",NA,NA,NA,
