Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,11246.57258,13545.38402,16601.38034,19273.63923,20833.33333,23001.88613,24447.23045,26796.57269,29848.74849,30681.37573,31101.6533,33497.03144,35338.74696,35502.54988,37636.83909,37431.03505,38261.73173,39470.55587,43148.88818,44711.0168,46240.93676,49520.88607,51930.83391,46075.97871,43770.13384,46617.24982,45844.00462,47461.61547,48223.07276,50870.48352,50924.98617,52499.05633,55344.08562,57106.02957,42974.5488,52138.6893,59608.50149,
Africa Eastern and Southern,AFE,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8547.498017,6779.273446,8674.309556,9775.106745,10605.27734,12623.8505,13679.56494,18739.6601,19489.27159,22336.5072,25762.31191,29072.53961,33768.07081,36105.45783,35959.83416,36226.06638,35307.4712,36064.45169,36189.88229,38909.60543,39386.14752,31201.71537,31205.43038,
Africa Western and Central,AFW,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,2.13E-05,1.92E-05,1.86E-05,1.87E-05,1.91E-05,2.27E-05,2.05E-05,2.26E-05,2.37E-05,2.67E-05,2.84E-05,5.72E-05,0.000300811,0.0022549,0.0503713,1.079286008,58.08751091,117.7975793,166.3189054,1081.927241,5591.420845,11634.73056,37986.96733,73323.48948,104819.0239,165665.4564,208793.3246,239426.6217,306264.9546,247797.3068,329634.9092,432865.9035,485342.5552,504646.919,528003.578,495962.364,567645.6588,670745.3248,819470.6367,937467.2447,948316.0859,1290755.643,1466296.189,1687888.1
Albania,ALB,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,5610.773515,5691.064307,5735.339646,5676.071393,5486.778985,5490.049454,5550.987797,5398.347065,5222.194571,5583.964773,4937.843484,4846.852721,15070.44418,37485.43591,55488.64923,69579.15593,105541.5142,105239.653,123012.4052,142690.7936,162251.4144,184123.2505,200095.706,222968.296,243697.0154,267031.8683,291636.1882,325091.7419,366664.6988,390752.7159,425553.0599,447689.0536,459526.4586,466324.7316,482954.2308,497901.7275,511970.5462,539644.5765,571010.0852,592778.6297,580521.0465,660168.0645,769826.6437,842174.7885
Andorra,AND,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,1665.41289,1750.708189,1918.780659,2165.260526,2487.401454,2747.608538,3119.741244,3746.815729,4357.171364,4862.945932,5401.721378,5835.379998,6430.491217,6989.931243,7560.614969,8088.890411,8895.952198,9523.625485,10171.79482,10959.97599,11767.90868,12470.26915,12997.24875,13021.06295,13421.83921,14037.42372,14525.84844,16062.05127,16693.67809,17725.19839,23466.87444,25489.38366,26335.30466,28312.47378,30306.50046,31830.23075,34344.24901,36943.12251,36674.2489,35812.70649,36386.27498,36946.73148,34949.23465,33692.60302,34385.02674,35047.3894,36074.7174,35967.87518,36330.63602,36917.85756,32575.16088,35566.97118,40217.2279,43046.39896
Arab World,ARB,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,10958.65619,12953.2994,15818.16086,38295.43503,93767.67423,107312.5577,123663.0483,137342.4195,114303.8457,131153.8749,159398.7661,164612.1544,146552.3147,126967.1583,117307.4704,108047.9234,84841.87004,84756.79751,79093.36745,84950.66524,97952.74165,94229.03898,94088.02725,91846.11593,93476.49488,99156.19962,104977.7766,105391.6454,95139.20983,100119.3519,116989.326,109840.8371,110990.1738,119750.5771,135947.6368,154944.811,166509.6263,161290.2512,165779.4744,116501.2072,129978.0784,154533.7092,163010.4719,167941.9842,172115.255,152501.0726,150772.7966,158152.4206,171587.5319,166643.9874,138193.1421,162810.5188,197242.5568,194557.3288
Argentina,ARG,GDP per capita (current LCU),NY.GDP.PCAP.CN,6.46E-09,8.07E-09,1.01E-08,1.19E-08,1.66E-08,2.18E-08,2.68E-08,3.52E-08,4.00E-08,4.66E-08,5.03E-08,6.87E-08,1.13E-07,1.89E-07,2.56E-07,7.50E-07,3.89E-06,1.06E-05,2.61E-05,7.00E-05,0.000137036,0.000262521,0.000755547,0.003727048,0.026512295,0.175157011,0.324703855,0.747435976,3.504551101,100.8538064,2111.732449,5464.245153,6751.551478,6950.460081,7464.474737,7383.70451,7690.157003,8176.771195,8250.673174,7735.32208,7666.517834,7168.975872,8250.752778,9820.468401,12545.39176,14909.92329,18134.78668,22494.17387,28545.77853,30673.45643,40739.98408,52810.11674,63208.89269,79338.28508,107315.2117,138053.3152,188760.9565,242031.4278,331385.003,479729.9075,599642.027,1011733.138,1782994.2,4067775.403
