"name","scale","nChao","iChao_est","iChao_lower","iChao_upper","observedRichness","level","niNEXT","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iNEXT_increase","iChao_increasePercent","iChao_increase","cleanRecords","elevationalRange","Code","year_GDPc","GPD_per_cap","year_TerEd","percent_ed","continent","mean_roadDist","median_roadDist","n_lit","n_occ","propOccurrences","area_m"
"British Indian Ocean Territory","Country",4,1,1,1.276,1,"Country",4,1,1,1,0,0,0,0,4,12,NA,NA,NA,NA,NA,"Seven seas (open ocean)",NA,NA,NA,NA,NA,132407812.32868525
"Saint Helena","Country",3,1,1,1.464,1,"Country",3,1,1,1,0,0,0,0,3,643,NA,NA,NA,NA,NA,"Seven seas (open ocean)",340.928478328676,340.928478328676,NA,NA,NA,185836378.32595935
"Antigua and Barbuda","Country",15,3,3,3.503,3,"Country",15,3,2.613992177403474,3.386007822596526,0,0,0,0,15,279,NA,NA,NA,NA,NA,NA,995.366106670895,613.686384940957,NA,NA,NA,432831288.30035114
"Aruba","Country",24,2,2,3.595,2,"Country",24,2,1.0544777979157396,2.9455222020842604,0,0,0,0,24,127,NA,NA,NA,NA,NA,"North America",441.555838277926,441.555838277926,NA,NA,NA,155263197.19798118
"Bahrain","Country",14,4.5,NA,NA,4,"Country",14,4.46547619047619,2.571189558483865,7.11171878436844,11.636904761904754,0.46547619047619015,12.5,0.5,7,92,"BHR",2022,38651.6,2020,10.7,"Asia",1078.14475969542,1278.74566907406,3,1,0.25,541461331.8152589
"Cook Islands","Country",11.5,4.29,4.0225,8.414,4,"Country",11.5,4.227272727272727,2.221250826587033,6.23329462795842,5.681818181818166,0.22727272727272663,7.250000000000001,0.29000000000000004,10,398,NA,NA,NA,NA,NA,"Oceania",851.141780725502,851.141780725502,1,3,0.75,60653677.28624762
"Saint-Martin","Country",20,5,5,5.918,5,"Country",20,5,4.089247519290794,5.910752480709206,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49002332.79759201
"Cayman Islands","Country",8,5.75,4.156,23.607,4,"Country",8,5.75,1.4492728596351512,9.79695821679578,43.75,1.75,43.75,1.75,7,39,NA,NA,NA,NA,NA,"North America",2771.47194676352,2235.9269801233,1,3,0.75,301321020.5660896
"São Tomé","Country",29,9.423,NA,NA,7,"Country",29,9.049059929494712,3.564337213876516,14.52452316943014,29.272284707067307,2.049059929494712,34.61428571428571,2.423,11,1758,"STP",2022,3751.6428,NA,NA,"Africa",2015.84592774529,1670.65640810088,6,1,0.14285714285714285,985862851.8084313
"Faroe Islands","Country",9,7.333,6.152,17.707,6,"Country",9,7.333333333333333,0.14232745360349375,16.341127704801547,22.22222222222221,1.333333333333333,22.21666666666666,1.3330000000000002,2,882,NA,NA,NA,NA,NA,"Europe",1473.6287135838,774.392228600234,5,1,0.16666666666666666,1035135342.8945549
"Bermuda","Country",58,8.969999999999999,7.1785,28.758499999999998,7,"Country",58,8.966657404834677,4.633831502975804,13.50250731430365,28.095105783352526,1.9666574048346774,28.142857142857135,1.9699999999999989,41,48,NA,NA,NA,NA,NA,"North America",2633.99009929802,2633.99009929802,4,3,0.42857142857142855,65982386.24970758
"Saint Pierre and Miquelon","Country",19,8.5,7.66,10.411,7,"Country",19,7,4.382753676144864,9.617246323855136,0,0,21.42857142857142,1.5,18,186,NA,NA,NA,NA,NA,"North America",18601.7102331176,15770.4292593821,1,6,0.8571428571428571,205241702.31651428
"Qatar","Country",22,10.652,8.644,28.398,8,"Country",22,10.152173913043478,2.394923258952085,19.172972340466202,26.90217391304348,2.1521739130434785,33.14999999999999,2.6519999999999992,13,90,"QAT",2022,149171.11,2020,14.9,"Asia",3851.62353464597,3175.6092713613,4,4,0.5,11074167472.605629
"Kuwait","Country",443,9.374500000000001,NA,NA,9,"Country",443,9.249431914358846,7.599901187123635,11.495307435395926,2.771465715098298,0.24943191435884593,4.1611111111111265,0.37450000000000117,395,293,"KWT",2022,71533.516,2020,6.3,"Asia",6249.59189343104,4212.23489739346,4,5,0.5555555555555556,17329662356.138885
"Palau","Country",29,17.7165,12.464,36.126,11,"Country",29,16.863636363636363,3.2352234110145757,30.18995417259868,53.30578512396693,5.863636363636363,61.05909090909092,6.7165,13,171,NA,2023,14563,NA,NA,"Oceania",6227.24749750234,5262.95930116082,7,4,0.36363636363636365,340619656.4033208
"Sint Maarten","Country",72,20.9045,14.494,52.6525,13,"Country",72,20.02974738675958,6.060018164753246,35.823013877142074,54.07497989815062,7.029747386759581,60.80384615384615,7.904499999999999,40,275,NA,NA,NA,NA,NA,"North America",206.086760272817,206.086760272817,9,4,0.3076923076923077,41839743.60979075
"Guam","Country",118,17.947499999999998,12.238,47.5065,11,"Country",118,16.941462021701884,5.884361366482609,26.87037817210217,54.013291106380755,5.941462021701884,63.159090909090885,6.947499999999998,89,333,NA,2022,40227,NA,NA,"Oceania",NA,NA,5,6,0.5454545454545454,482213687.74397606
"Guinea-Bissau","Country",32,20.188000000000002,14.9515,50.8395,13,"Country",32,19.08058608058608,3.2538978042072024,37.303255892477125,46.77373908143139,6.08058608058608,55.29230769230771,7.188000000000002,6,251,"GNB",2022,1625.3876,NA,NA,"Africa",1429.43017929459,770.547505043738,12,1,0.07692307692307693,32056090437.620796
"Barbados","Country",38,18.182499999999997,10.616,59.712,9,"Country",38,17.77478448275862,4.085228272971415,31.19073814025497,97.49760536398466,8.77478448275862,102.02777777777774,9.182499999999997,24,307,"BRB",2022,11545.848,2020,7.5,"North America",1157.11020901739,1011.56381697854,16,5,0.23809523809523808,389308959.8479304
"Curaçao","Country",374,21.2955,17.886499999999998,33.705,17,"Country",374,20.986970131041435,9.854954122502273,31.205550403295447,23.452765476714333,3.986970131041435,25.26764705882354,4.2955000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429683353.15417355
"N. Mariana","Country",131.5,21.1935,15.318000000000001,53.8295,14,"Country",131.5,20.199798387096774,7.232390751312437,34.87049762986169,44.28427419354839,6.199798387096774,51.38214285714287,7.1935,86,773,NA,2020,17303,NA,NA,"Oceania",NA,NA,8,6,0.42857142857142855,393511134.8779447
"Macao","Country",130.5,23.528,20.4745,33.2685,19,"Country",130.5,22.981507580610717,8.454385200561926,37.231896971604854,20.955303055845874,3.9815075806107174,23.831578947368403,4.527999999999999,61,265,NA,NA,NA,NA,NA,"Asia",NA,NA,12,7,0.3684210526315789,22739557.425197456
"Grenada","Country",24,27.394,18.063,71.554,14,"Country",24,26.913043478260867,0.20424255948656622,55.71821285242464,92.23602484472049,12.913043478260867,95.67142857142856,13.393999999999998,10,636,NA,NA,NA,NA,NA,"North America",1506.22510470824,1564.44702835018,8,6,0.42857142857142855,286021216.79856545
"Montserrat","Country",51,27.2245,19.829,52.022499999999994,17,"Country",51,25.81241858445506,7.146146095058731,46.13590057635289,51.83775637914741,8.81241858445506,60.14411764705883,10.224499999999999,23,759,NA,NA,NA,NA,NA,"North America",1410.95901886641,1410.95901886641,11,6,0.35294117647058826,79781359.34159136
"Timor-Leste","Country",151,23.7275,20.005499999999998,42.001000000000005,19,"Country",151,23.13385012919897,10.597986660865617,36.30563070488662,21.757105943152478,4.133850129198969,24.88157894736842,4.727499999999999,101,2717,NA,NA,NA,NA,NA,"Asia",3887.16501378158,3131.05091161561,10,9,0.47368421052631576,15020735896.073454
"French Polynesia","Country",181.5,25.223,19.559,51.4875,18,"Country",181.5,24.148370758483033,7.871897404556529,41.44799983690063,34.157615324905734,6.148370758483033,40.127777777777766,7.222999999999999,105,1511,NA,2022,18984,NA,NA,"Oceania",378433.171078634,124910.746720093,11,7,0.3888888888888889,2614778765.8208704
"Mauritius","Country",57.5,28.003,21.096,58.5155,18,"Country",57.5,26.853571428571428,6.289087986083233,50.649646216993176,49.18650793650794,8.853571428571428,55.57222222222222,10.003,19,718,"MUS",2022,20643.094,2020,6.6,"Seven seas (open ocean)",1122.33446407062,755.43632599174,20,4,0.16666666666666666,1879251096.6584642
"Mauritius","Country",57.5,28.003,21.096,58.5155,18,"Country",57.5,26.853571428571428,6.289087986083233,50.649646216993176,49.18650793650794,8.853571428571428,55.57222222222222,10.003,19,718,"MUS",2022,20643.094,2020,4,"Seven seas (open ocean)",1122.33446407062,755.43632599174,20,4,0.16666666666666666,1879251096.6584642
"Monaco","Country",12,12.5,6.894,44.153,6,"Country",12,11.571428571428571,3.2780263874043114,20.625824304278563,92.85714285714286,5.571428571428571,108.33333333333334,6.5,8,617,NA,NA,NA,NA,NA,"Europe",NA,NA,2,4,0.6666666666666666,12413442.298156071
"Vanuatu","Country",41.5,27.820500000000003,21.6215,46.475,18,"Country",41.5,25.98913043478261,5.3087567016121024,50.42486912619363,44.3840579710145,7.989130434782609,54.55833333333335,9.820500000000003,20,1654,NA,2023,3367,NA,NA,"Oceania",15403.1434419268,4221.59443473609,11,7,0.3888888888888889,11292281164.76271
"Comoros","Country",149,32.216499999999996,23.950499999999998,64.1335,21,"Country",149,31.04268292682927,7.710990946144932,55.411408733683004,47.822299651567945,10.042682926829269,53.41190476190474,11.216499999999996,50,2319,"COM",2022,1900.3983,NA,NA,"Africa",2024.66133092635,1188.55973679258,18,3,0.14285714285714285,1585848746.7110367
"Cabo Verde","Country",129,29.5435,24.792,47.6065,23,"Country",129,28.740469720496897,9.114875236266913,47.7010111856617,24.95856400216041,5.740469720496897,28.449999999999996,6.543500000000002,75,2503,"CPV",2022,7202.767,NA,NA,"Africa",1333.5084342056,910.7011547749,11,12,0.5217391304347826,3585102519.0271215
"Samoa","Country",34,34.1275,24.456000000000003,61.834,19,"Country",34,32.90344827586207,1.1662458038765084,67.90615605283881,73.17604355716878,13.903448275862068,79.61842105263158,15.127499999999998,9,1779,NA,2023,4139,NA,NA,"Oceania",3562.01874817419,2802.64664726582,14,5,0.2631578947368421,2701753949.1292562
