"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Global","iNEXT",20934,24735.639602513325,136.3209212993228,24468.455506427334,25002.823698599317,"8370510",NA,1
"Global","iNEXT",20934,24811.744395589525,137.98335924030872,24541.301981012668,25082.186810166382,"8369300",NA,1
"Global","iNEXT",20934,24802.513688629224,142.8531085666573,24522.526740758985,25082.500636499462,"8367717",NA,1
"Global","iNEXT",20934,24832.44789973548,136.9805741744986,24563.970907771847,25100.924891699116,"8366344",NA,1
"Global","iNEXT",20934,24840.662422667967,140.4535917229653,24565.378441391662,25115.946403944272,"8368125",NA,1
"Global","iNEXT",20934,24859.980631492763,132.2837889496124,24600.709169413025,25119.2520935725,"8371217",NA,1
"Global","iNEXT",20934,24823.637442365325,152.83156359986324,24524.09308200865,25123.181802722,"8377740",NA,1
"Global","iNEXT",20934,24886.07577489031,123.85619218970301,24643.32209893622,25128.829450844398,"8370550",NA,1
"Global","iNEXT",20934,24885.493799572992,126.84287503375472,24636.88633281132,25134.101266334666,"8362891",NA,1
"Global","iNEXT",20934,24881.114581209247,130.26174638221485,24625.806249736816,25136.42291268168,"8370987",NA,1
"Global","iNEXT",20934,24886.799335665077,130.0738567056972,24631.859261191687,25141.739410138467,"8369182",NA,1
"Global","iNEXT",20934,24900.040027782627,126.48320428088326,24652.137502742873,25147.94255282238,"8373112",NA,1
"Global","iNEXT",20934,24872.33468640914,141.42793850989435,24595.141020522,25149.528352296278,"8369034",NA,1
"Global","iNEXT",20934,24905.70388769731,128.40205250697946,24654.04048924261,25157.36728615201,"8369241",NA,1
"Global","iNEXT",20934,24902.639611882656,130.03925034902235,24647.767364621985,25157.511859143327,"8366935",NA,1
"Global","iNEXT",20934,24925.29592480897,121.50708819607848,24687.146408078323,25163.445441539614,"8372655",NA,1
"Global","iNEXT",20934,24894.54731731551,141.2337279597034,24617.734297112165,25171.360337518858,"8368466",NA,1
"Global","iNEXT",20934,24929.815500945893,125.38662647813898,24684.062228905765,25175.568772986022,"8360482",NA,1
"Global","iNEXT",20934,24923.46238995626,130.87859930619794,24666.945048969064,25179.979730943458,"8369842",NA,1
"Global","iNEXT",20934,24890.796649615164,148.57028303634604,24599.604245691004,25181.989053539324,"8370861",NA,1
"Global","iNEXT",20934,24889.51728027335,149.8976748562722,24595.72323618876,25183.31132435794,"8368899",NA,1
"Global","iNEXT",20934,24873.447805473952,160.6695577779369,24558.54125881722,25188.354352130686,"8374889",NA,1
"Global","iNEXT",20934,24924.57721632249,134.78832690392485,24660.396950054386,25188.757482590594,"8370931",NA,1
"Global","iNEXT",20934,24934.919190272893,131.15362236262803,24677.862814000175,25191.97556654561,"8370588",NA,1
"Global","iNEXT",20934,24876.834732213025,162.02572793628332,24559.270140889024,25194.399323537025,"8368481",NA,1
"Global","iNEXT",20934,24923.1896607033,138.7617006901824,24651.221724917017,25195.157596489586,"8366544",NA,1
"Global","iNEXT",20934,24916.34538332397,145.30109691527656,24631.560466455863,25201.130300192075,"8367348",NA,1
"Global","iNEXT",20934,24915.86285400297,145.79347058855535,24630.112902468303,25201.61280553764,"8363113",NA,1
"Global","iNEXT",20934,24939.215392350376,136.96341313098367,24670.772035413967,25207.658749286784,"8372660",NA,1
"Global","iNEXT",20934,24918.87910527622,148.91551042841988,24627.01006809712,25210.748142455323,"8373784",NA,1
"Global","iNEXT",20934,24914.730679001623,154.683837305687,24611.555928892023,25217.905429111222,"8370292",NA,1
