"variable","Name","Estimate","s.e.","95%Lower","95%Upper","n","Observed","Est_s.e."
"Africa","iChao",6634.669,71.705,6499.979,6781.262,"253667",NA,NA
"Asia","iChao",8672.036,93.21,8495.953,8861.53,"196746",NA,NA
"Europe","iChao",3223.425,49.287,3133.231,3326.799,"3390257",NA,NA
"North America","iChao",6453.762,57.674,6347.435,6573.852,"2769963",NA,NA
"Oceania","iChao",2465.169,38.255,2396.689,2547.137,"267027",NA,NA
"South America","iChao",5587.978,62.545,5471.332,5716.746,"398169",NA,NA
"Africa","iChao",6643.022,70.719,6510.078,6787.487,"251059",NA,NA
"Asia","iChao",8554.064,83.969,8395.12,8724.434,"194221",NA,NA
"Europe","iChao",3303.444,57.067,3199.302,3423.459,"3389843",NA,NA
"North America","iChao",6481.885,59.686,6371.878,6606.198,"2775030",NA,NA
"Oceania","iChao",2489.696,41.285,2415.92,2578.304,"269741",NA,NA
"South America","iChao",5606.034,63.306,5487.955,5736.356,"397447",NA,NA
"Africa","iChao",6566.74,69.034,6437.089,6707.895,"256147",NA,NA
"Asia","iChao",8721.71,96.756,8539.047,8918.541,"202510",NA,NA
"Europe","iChao",3239.516,52.397,3143.892,3349.702,"3391022",NA,NA
"North America","iChao",6533.412,62.966,6417.366,6664.565,"2774905",NA,NA
"Oceania","iChao",2521.029,42.364,2445.03,2611.612,"269512",NA,NA
"South America","iChao",5690.428,70.29,5559.586,5835.412,"398654",NA,NA
"Africa","iChao",6825.135,83.77,6668.104,6996.74,"259227",NA,NA
"Asia","iChao",8899.404,104.717,8701.798,9112.52,"204281",NA,NA
"Europe","iChao",3342.134,59.37,3233.725,3466.918,"3395028",NA,NA
"North America","iChao",6559.493,65.771,6438.414,6696.64,"2775660",NA,NA
"Oceania","iChao",2568.574,49.048,2480.989,2673.918,"269254",NA,NA
"South America","iChao",5715.239,72.146,5580.995,5864.111,"402539",NA,NA
"Africa","iChao",6768.277,80.003,6618.209,6932.06,"253708",NA,NA
"Asia","iChao",8710.779,95.135,8531.093,8904.22,"192420",NA,NA
"Europe","iChao",3192.403,49.344,3102.398,3296.222,"3387859",NA,NA
"North America","iChao",6400.484,53.88,6301.097,6512.615,"2771915",NA,NA
"Oceania","iChao",2576.77,46.885,2492.584,2676.934,"266732",NA,NA
"South America","iChao",5685.375,70.32,5554.506,5830.451,"398849",NA,NA
"Africa","iChao",6615.929,70.467,6483.53,6759.956,"254502",NA,NA
"Asia","iChao",8721.097,94.611,8542.338,8913.406,"201389",NA,NA
"Europe","iChao",3163.953,46.023,3079.845,3260.606,"3394252",NA,NA
"North America","iChao",6505.598,61.296,6392.638,6633.28,"2775676",NA,NA
"Oceania","iChao",2516.328,42.574,2440.054,2607.479,"267828",NA,NA
"South America","iChao",5631.316,65.088,5509.961,5765.356,"401227",NA,NA
"Africa","iChao",6579.444,69.724,6448.508,6722.023,"249977",NA,NA
"Asia","iChao",8633.761,90.387,8462.915,8817.415,"191066",NA,NA
"Europe","iChao",3134.012,44.888,3052.11,3228.427,"3392619",NA,NA
"North America","iChao",6560.295,64.107,6442.086,6693.757,"2770691",NA,NA
"Oceania","iChao",2534.711,44.905,2454.369,2630.977,"267171",NA,NA
"South America","iChao",5509.833,58.486,5400.747,5630.233,"392895",NA,NA
"Africa","iChao",6703.498,76.03,6560.794,6859.051,"256021",NA,NA
"Asia","iChao",8834.776,99.642,8646.565,9037.371,"199201",NA,NA
"Europe","iChao",3156.303,44.506,3074.846,3249.633,"3391256",NA,NA
"North America","iChao",6546.008,63.517,6428.92,6678.279,"2774381",NA,NA
"Oceania","iChao",2542.839,43.515,2464.649,2635.738,"269230",NA,NA
"South America","iChao",5615.913,64.596,5495.503,5748.97,"400645",NA,NA
"Africa","iChao",6560.546,67.641,6433.422,6698.758,"251715",NA,NA
"Asia","iChao",8659.424,91.877,8485.8,8846.145,"197758",NA,NA
"Europe","iChao",3257.424,53.547,3159.682,3370.009,"3391379",NA,NA
"North America","iChao",6564.91,67.926,6440.08,6706.789,"2772574",NA,NA
"Oceania","iChao",2520.377,43.069,2443.237,2612.611,"265575",NA,NA
"South America","iChao",5513.979,56.333,5408.698,5629.72,"394924",NA,NA
"Africa","iChao",6599.045,69.245,6468.903,6740.532,"254436",NA,NA
"Asia","iChao",8637.341,90.794,8465.745,8821.841,"200407",NA,NA
"Europe","iChao",3250.194,53.516,3152.574,3362.785,"3389302",NA,NA
"North America","iChao",6499.342,61.349,6386.336,6627.191,"2772785",NA,NA
"Oceania","iChao",2545.842,44.4,2466.16,2640.745,"267439",NA,NA
