"name","name_long","scale","nChao","iChao_est","iChao_lower","iChao_upper","observedRichness","level","niNEXT","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iNEXT_increase","iChao_increasePercent","iChao_increase"
"N. Mariana Is.","Northern Mariana Islands","Country",131.5,21.1935,15.318,53.8295,14,"Country",131.5,20.199798387096777,7.232390751312437,34.87049762986169,44.28427419354839,6.199798387096774,51.38214285714287,7.1935
"Br. Indian Ocean Ter.","British Indian Ocean Territory","Country",4,1,1,1.276,1,"Country",4,1,1,1,0,0,0,0
"Cayman Is.","Cayman Islands","Country",8,5.75,4.156,23.607,4,"Country",8,5.75,1.4492728596351512,9.79695821679578,43.75,1.75,43.75,1.75
"South Korea","Republic of Korea","Country",12294,297.70000000000005,271.62,334.317,226,"Country",12294,286.0666249945924,249.51061956207693,322.0695966138933,26.57815265247452,60.066624994592416,31.72566371681418,71.70000000000005
"Solomon Is.","Solomon Islands","Country",441,107.757,71.482,199.1725,46,"Country",441,101.00217757405426,24.410207605698705,190.0828727734098,119.56995124794403,55.00217757405426,134.25434782608696,61.757000000000005
"St. Vin. and Gren.","Saint Vincent and the Grenadines","Country",240,74.9405,60.7605,104.8365,48,"Country",240,70.750383405523,37.86253882781333,108.21528281039096,47.396632094839575,22.750383405522996,56.12604166666666,26.9405
"Russia","Russian Federation","Country",47380,1743.9415,1669.8995,1829.324,1255,"Country",47380,1654.3387531155686,1562.2868166255228,1744.3556821100683,31.81982096538396,399.3387531155686,38.95948207171314,488.9414999999999
"Cook Is.","Cook Islands","Country",11.5,4.29,4.0225,8.414,4,"Country",11.5,4.227272727272727,2.221250826587033,6.23329462795842,5.681818181818166,0.22727272727272663,7.250000000000001,0.29000000000000004
"St. Pierre and Miquelon","Saint Pierre and Miquelon","Country",19,8.5,7.66,10.411,7,"Country",19,7,4.382753676144864,9.617246323855136,0,0,21.42857142857142,1.5
"Fr. Polynesia","French Polynesia","Country",181.5,25.223,19.559,51.4875,18,"Country",181.5,24.148370758483033,7.871897404556529,41.44799983690063,34.157615324905734,6.148370758483033,40.127777777777766,7.222999999999999
"Dominican Rep.","Dominican Republic","Country",1075,90.4085,80.3385,111.594,71,"Country",1075,87.31781593159316,64.95721009339903,110.60729229706764,22.982839340272054,16.31781593159316,27.335915492957753,19.408500000000004
"Czechia","Czech Republic","Country",11449,782.2165,750.98,821.7465,609,"Country",11449,749.2553037523917,696.2730784393437,803.2185139907003,23.030427545548715,140.25530375239168,28.442775041050904,173.2165
"Dem. Rep. Congo","Democratic Republic of the Congo","Country",9799,1163.5915,1092.3815,1246.79,769,"Country",9799,1098.1302164519134,1008.9653024048778,1186.578911995936,42.799768069169495,329.1302164519134,51.31228868660598,394.5915
