"name","scale","nChao","iChao_est","iChao_lower","iChao_upper","observedRichness","level","niNEXT","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iNEXT_increase","iChao_increasePercent","iChao_increase"
"British Indian Ocean Territory","Country",4,1,1,1.276,1,"Country",4,1,1,1,0,0,0,0
"Saint Helena","Country",3,1,1,1.464,1,"Country",3,1,1,1,0,0,0,0
"Antigua and Barbuda","Country",15,3,3,3.503,3,"Country",15,3,2.613992177403474,3.386007822596526,0,0,0,0
"Aruba","Country",24,2,2,3.595,2,"Country",24,2,1.0544777979157396,2.9455222020842604,0,0,0,0
"Bahrain","Country",14,4.5,NA,NA,4,"Country",14,4.46547619047619,2.571189558483865,7.11171878436844,11.636904761904754,0.46547619047619015,12.5,0.5
"Cook Islands","Country",11.5,4.29,4.0225,8.414,4,"Country",11.5,4.227272727272727,2.221250826587033,6.23329462795842,5.681818181818166,0.22727272727272663,7.250000000000001,0.29000000000000004
"Saint Martin","Country",20,5,5,5.918,5,"Country",20,5,4.089247519290794,5.910752480709206,0,0,0,0
"Cayman Islands","Country",8,5.75,4.156,23.607,4,"Country",8,5.75,1.4492728596351512,9.79695821679578,43.75,1.75,43.75,1.75
"São Tomé","Country",29,9.423,NA,NA,7,"Country",29,9.049059929494712,3.564337213876516,14.52452316943014,29.272284707067307,2.049059929494712,34.61428571428571,2.423
"Faroe Islands","Country",9,7.333,6.152,17.707,6,"Country",9,7.333333333333333,0.14232745360349375,16.341127704801547,22.22222222222221,1.333333333333333,22.21666666666666,1.3330000000000002
"Bermuda","Country",58,8.969999999999999,7.1785,28.758499999999998,7,"Country",58,8.966657404834677,4.633831502975804,13.50250731430365,28.095105783352526,1.9666574048346774,28.142857142857135,1.9699999999999989
"Saint Pierre and Miquelon","Country",19,8.5,7.66,10.411,7,"Country",19,7,4.382753676144864,9.617246323855136,0,0,21.42857142857142,1.5
"Qatar","Country",22,10.652,8.644,28.398,8,"Country",22,10.152173913043478,2.394923258952085,19.172972340466202,26.90217391304348,2.1521739130434785,33.14999999999999,2.6519999999999992
"Kuwait","Country",443,9.374500000000001,NA,NA,9,"Country",443,9.249431914358846,7.599901187123635,11.495307435395926,2.771465715098298,0.24943191435884593,4.1611111111111265,0.37450000000000117
"Palau","Country",29,17.7165,12.464,36.126,11,"Country",29,16.863636363636363,3.2352234110145757,30.18995417259868,53.30578512396693,5.863636363636363,61.05909090909092,6.7165
"Sint Maarten","Country",72,20.9045,14.494,52.6525,13,"Country",72,20.02974738675958,6.060018164753246,35.823013877142074,54.07497989815062,7.029747386759581,60.80384615384615,7.904499999999999
"Guam","Country",118,17.947499999999998,12.238,47.5065,11,"Country",118,16.941462021701884,5.884361366482609,26.87037817210217,54.013291106380755,5.941462021701884,63.159090909090885,6.947499999999998
"Guinea-Bissau","Country",32,20.188000000000002,14.9515,50.8395,13,"Country",32,19.08058608058608,3.2538978042072024,37.303255892477125,46.77373908143139,6.08058608058608,55.29230769230771,7.188000000000002
"Barbados","Country",38,18.182499999999997,10.616,59.712,9,"Country",38,17.77478448275862,4.085228272971415,31.19073814025497,97.49760536398466,8.77478448275862,102.02777777777774,9.182499999999997
"Martinique","Country",374,21.2955,17.886499999999998,33.705,17,"Country",374,20.986970131041435,9.854954122502273,31.205550403295447,23.452765476714333,3.986970131041435,25.26764705882354,4.2955000000000005
"N. Mariana","Country",131.5,21.1935,15.318000000000001,53.8295,14,"Country",131.5,20.199798387096774,7.232390751312437,34.87049762986169,44.28427419354839,6.199798387096774,51.38214285714287,7.1935
"Macao","Country",130.5,23.528,20.4745,33.2685,19,"Country",130.5,22.981507580610717,8.454385200561926,37.231896971604854,20.955303055845874,3.9815075806107174,23.831578947368403,4.527999999999999
"Grenada","Country",24,27.394,18.063,71.554,14,"Country",24,26.913043478260867,0.20424255948656622,55.71821285242464,92.23602484472049,12.913043478260867,95.67142857142856,13.393999999999998
"Montserrat","Country",51,27.2245,19.829,52.022499999999994,17,"Country",51,25.81241858445506,7.146146095058731,46.13590057635289,51.83775637914741,8.81241858445506,60.14411764705883,10.224499999999999
"Timor-Leste","Country",151,23.7275,20.005499999999998,42.001000000000005,19,"Country",151,23.13385012919897,10.597986660865617,36.30563070488662,21.757105943152478,4.133850129198969,24.88157894736842,4.727499999999999
"French Polynesia","Country",181.5,25.223,19.559,51.4875,18,"Country",181.5,24.148370758483033,7.871897404556529,41.44799983690063,34.157615324905734,6.148370758483033,40.127777777777766,7.222999999999999
"Mauritius","Country",57.5,28.003,21.096,58.5155,18,"Country",57.5,26.853571428571428,6.289087986083233,50.649646216993176,49.18650793650794,8.853571428571428,55.57222222222222,10.003
"Monaco","Country",12,12.5,6.894,44.153,6,"Country",12,11.571428571428571,3.2780263874043114,20.625824304278563,92.85714285714286,5.571428571428571,108.33333333333334,6.5
