"name","iChao_est","iChao_lower","iChao_upper","observedRichness","source","iChao_increasePercent","iChao_increase"
"USA",4232.2375,4149.981,4329.630999999999,3703,"Literature",NA,NA
"USA",4148.642,4075.127,4236.700000000001,NA,"Country",12.034620577909806,445.6419999999998
"USA",4132.3285,4060.9515,4217.940500000001,NA,"Global",11.594072373751008,429.3284999999996
"Mexico",2738.7169999999996,2671.548,2816.3824999999997,2265,"Literature",NA,NA
"Brazil",2692.7205,2612.548,2783.9915,2072,"Literature",NA,NA
"Turkey",2667.476,2568.6365,2784.085,1824,"Literature",NA,NA
"Mexico",2644.655,2588.7065,2708.6035,NA,"Country",16.761810154525403,379.6550000000002
"Mexico",2637.0815,2582.242,2701.401,NA,"Global",16.427439293598244,372.08150000000023
"Brazil",2514.9885,2453.0240000000003,2587.043,NA,"Country",21.37975386100386,442.98849999999993
"Brazil",2496.9955,2437.3050000000003,2566.4415,NA,"Global",20.511365830115835,424.9955
"Turkey",2378.999,2304.053,2465.6525,NA,"Country",30.427576754385942,554.9989999999998
"Turkey",2353.6865,2284.2355,2433.6220000000003,NA,"Global",29.03983004385964,529.6864999999998
"China",2003.6195,1915.4125,2105.6800000000003,1367,"Literature",NA,NA
"Australia",1869.932,1819.488,1931.8455,1615,"Literature",NA,NA
"Australia",1819.7485,1777.602,1873.3195,NA,"Country",12.677925696594428,204.74849999999992
"Australia",1817.71,1774.9895,1871.061,NA,"Global",12.551702786377716,202.71000000000004
"China",1747.2655,1690.76,1813.632,NA,"Country",27.817520117044616,380.2655
"China",1746.4565,1689.276,1813.783,NA,"Global",27.758339429407464,379.4565
"Russia",1743.9415,1669.8995,1829.324,1255,"Literature",NA,NA
"Argentina",1689.7824999999998,1623.5325,1771.7530000000002,1277,"Literature",NA,NA
"Greece",1637.0765,1579.1945,1709.2325,1191,"Literature",NA,NA
"Israel",1617.0100000000002,1531.416,1716.0895,1064,"Literature",NA,NA
"Iran",1611.198,1534.652,1701.492,1112,"Literature",NA,NA
"Argentina",1579.9744999999998,1528.37,1642.1725,NA,"Country",23.725489428347668,302.9744999999998
"Argentina",1568.2869999999998,1517.5095,1629.8195,NA,"Global",22.81025841816757,291.2869999999998
"South Africa",1561.08,1502.4385000000002,1635.036,1240,"Literature",NA,NA
"Russia",1545.252,1498.4830000000002,1601.0524999999998,NA,"Country",23.127649402390425,290.25199999999995
"Russia",1534.652,1488.7725,1589.548,NA,"Global",22.283027888446227,279.65200000000004
"Spain",1526.566,1465.949,1598.786,1167,"Literature",NA,NA
"South Africa",1505.555,1451.595,1571.638,NA,"Country",21.41572580645161,265.55500000000006
"South Africa",1493.617,1443.7635,1555.6695,NA,"Global",20.452983870967746,253.61699999999996
"Greece",1489.035,1443.2620000000002,1543.1175,NA,"Country",25.023929471032737,298.03499999999985
"Greece",1478.235,1433.0680000000002,1531.83,NA,"Global",24.11712846347609,287.2350000000001
"Israel",1459.4825,1394.2530000000002,1537.6055,NA,"Country",37.169407894736835,395.4825000000001
"Morocco",1450.6505,1381.8545,1534.908,987,"Literature",NA,NA
"Israel",1448.177,1386.8290000000002,1521.1875,NA,"Global",36.106860902255654,384.17700000000013
"Spain",1439.2225,1389.8629999999998,1499.515,NA,"Country",23.32669237360754,272.22249999999985
"Spain",1428.108,1380.813,1484.544,NA,"Global",22.37429305912595,261.10799999999995
"Iran",1422.9205000000002,1367.581,1492.118,NA,"Country",27.960476618705044,310.9205000000002
"Iran",1408.6765,1351.798,1479.047,NA,"Global",26.679541366906463,296.67650000000003
"Algeria",1350.3755,1271.1485,1442.359,858,"Literature",NA,NA
"Kazakhstan",1308.0445,1226.888,1405.24,826,"Literature",NA,NA
"Italy",1305.4375,1264.6185,1353.7355,1045,"Literature",NA,NA
"Morocco",1289.1045,1235.4915,1354.3645,NA,"Global",30.608358662613977,302.1044999999999
"Peru",1288.485,1209.7335,1384.2875,859,"Literature",NA,NA
"Morocco",1288.19,1235.0435,1352.7765,NA,"Country",30.515704154002023,301.19000000000005
"Italy",1223.6945,1191.9295,1262.327,NA,"Country",17.099952153110042,178.69450000000006
"Italy",1218.55,1187.591,1256.061,NA,"Global",16.607655502392337,173.54999999999995
"Peru",1193.5745,1126.497,1275.1435,NA,"Country",38.949301513387645,334.57449999999994
"Peru",1184.3315,1122.6195,1263.074,NA,"Global",37.873282887078005,325.3315
"France",1177.171,1135.3305,1233.956,1003,"Literature",NA,NA
"Canada",1170.019,1119.344,1233.0285,920,"Literature",NA,NA
"Algeria",1163.79,1103.9740000000002,1238.202,NA,"Country",35.63986013986013,305.78999999999996
"Algeria",1148.8335000000002,1089.5755,1223.2065,NA,"Global",33.89667832167835,290.8335000000002
"France",1140.086,1104.1255,1188.5515,NA,"Global",13.667597208374872,137.086
"France",1139.5500000000002,1104.6065,1186.514,NA,"Country",13.61415752741777,136.55000000000018
"Kazakhstan",1115.577,1061.0455,1183.405,NA,"Global",35.05774818401937,289.577
"Kazakhstan",1112.602,1058.101,1179.915,NA,"Country",34.69757869249395,286.6020000000001
"Canada",1105.452,1064.606,1156.7875,NA,"Global",20.157826086956533,185.452
"Canada",1099.1125,1061.6805,1146.4540000000002,NA,"Country",19.46874999999999,179.11249999999995
