"Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"Assemblage1",1,"Rarefaction",0,1,0.9999999999999992,1.0000000000000007,0.012278876506072511,0.012252280060265897,0.012305472951879125
"Assemblage1",465224,"Rarefaction",0,10532.064103729948,10517.05017555445,10547.078031905447,0.9936448210725178,0.9936218961278537,0.993667746017182
"Assemblage1",930447,"Rarefaction",0,12683.185190047563,12661.750290804206,12704.62008929092,0.9964988198852428,0.9964811115400812,0.9965165282304044
"Assemblage1",1395671,"Rarefaction",0,14042.925592898679,14015.647266419646,14070.203919377711,0.9975276427000442,0.9975108066452169,0.9975444787548716
"Assemblage1",1860894,"Rarefaction",0,15055.551443632647,15022.519617661505,15088.583269603789,0.9980713037677089,0.9980553207275352,0.9980872868078826
"Assemblage1",2326117,"Rarefaction",0,15868.26681529551,15829.588046154424,15906.945584436597,0.9984116162832203,0.9983966246054322,0.99842660796100835
"Assemblage1",2791341,"Rarefaction",0,16549.62822952407,16505.506850565438,16593.749608482703,0.9986461051642985,0.9986320431644146,0.9986601671641825
"Assemblage1",3256564,"Rarefaction",0,17137.583230573608,17088.275956351572,17186.890504795643,0.9988181308059907,0.9988048453817938,0.9988314162301876
"Assemblage1",3721788,"Rarefaction",0,17655.45305695864,17601.225116568097,17709.68099734918,0.9989501477119392,0.9989374691962665,0.998962826227612
"Assemblage1",4187011,"Rarefaction",0,18118.60170694093,18059.702888875643,18177.50052500622,0.9990550119707344,0.9990427884747396,0.9990672354667293
"Assemblage1",4652234,"Rarefaction",0,18537.685804012017,18474.34077017823,18601.030837845803,0.9991406199865092,0.9991287291780867,0.9991525107949316
"Assemblage1",5117458,"Rarefaction",0,18920.395268783537,18852.801712026925,18987.98882554015,0.999212077908479,0.999200426338089,0.999223729478869
"Assemblage1",5582681,"Rarefaction",0,19272.46184777019,19200.79220992768,19344.131485612703,0.9992728220537765,0.9992613385815576,0.9992843055259955
"Assemblage1",6047905,"Rarefaction",0,19598.283095436604,19522.6873674012,19673.87882347201,0.9993252430623576,0.9993138705999262,0.999336615524789
"Assemblage1",6513128,"Rarefaction",0,19901.31069411767,19821.919210139044,19980.702178096297,0.9993710509548942,0.9993597386822958,0.9993823632274926
"Assemblage1",6978351,"Rarefaction",0,20184.315617129632,20101.241133695494,20267.39010056377,0.9994115005512815,0.9994001974378613,0.9994228036647016
"Assemblage1",7443575,"Rarefaction",0,20449.562069126336,20362.900957953243,20536.22318029943,0.9994475335064881,0.9994361833508542,0.999458883662122
"Assemblage1",7908798,"Rarefaction",0,20698.92871416261,20608.76116589981,20789.096262425406,0.9994798710945565,0.9994684091422825,0.9994913330468305
"Assemblage1",8374022,"Rarefaction",0,20933.999509076955,20840.388656054663,21027.610362099247,0.9995090770588999,0.9994974282201335,0.9995207258976663
"Assemblage1",8374023,"Observed",0,20934,20840.389139631072,21027.610860368928,0.999509077118651,0.9994974282793946,0.9995207259579074
"Assemblage1",8374024,"Extrapolation",0,20934.000490922987,20840.389623207422,21027.61135863855,0.999509077178402,0.9994974283386554,0.9995207260181486
"Assemblage1",8814762,"Extrapolation",0,21144.667960276314,21047.83373813324,21241.50218241939,0.9995347178729493,0.9995228391289195,0.9995465966169792
"Assemblage1",9255500,"Extrapolation",0,21344.33235317231,21244.284037466066,21444.380668878555,0.9995590193646975,0.9995469016095149,0.9995711371198801
"Assemblage1",9696238,"Extrapolation",0,21533.568355830434,21430.289267788772,21636.847443872095,0.9995820515996511,0.9995697067004934,0.9995943964988088
"Assemblage1",10136976,"Extrapolation",0,21712.920638842053,21606.373704280177,21819.46757340393,0.9996038808705637,0.999591334191075,0.9996164275500524
"Assemblage1",10577714,"Extrapolation",0,21882.905424874516,21773.03872001442,21992.77212973461,0.9996245700077466,0.9996118550131933,0.9996372850023
"Assemblage1",11018452,"Extrapolation",0,22044.011974494682,21930.76395089662,22157.259998092744,0.9996441785599095,0.9996313330327318,0.9996570240870872
"Assemblage1",11459190,"Extrapolation",0,22196.703994388507,22080.008178472337,22313.399810304676,0.9996627629655582,0.9996498264034134,0.9996756995277031
"Assemblage1",11899928,"Extrapolation",0,22341.420972029846,22221.210024611973,22461.63191944772,0.9996803767154385,0.9996673885744329,0.9996933648564441
"Assemblage1",12340666,"Extrapolation",0,22478.579440640107,22354.78853036972,22602.370350910496,0.9996970705064971,0.9996840690402601,0.9997100719727342
"Assemblage1",12781404,"Extrapolation",0,22608.574178079525,22481.143673245784,22736.004682913266,0.9997128923878003,0.9996999139037696,0.999725870871831
"Assemblage1",13222142,"Extrapolation",0,22731.779343120852,22600.65686161875,22862.901824622953,0.9997278878988312,0.9997149663056267,0.9997408094920356
"Assemblage1",13662880,"Extrapolation",0,22848.54955237594,22713.691432070496,22983.40767268138,0.9997421002005653,0.9997292667578731,0.9997549336432575
"Assemblage1",14103618,"Extrapolation",0,22959.220900974862,22820.593164740032,23097.848637209692,0.999755570199698,0.9997428534084758,0.9997682869909201
"Assemblage1",14544356,"Extrapolation",0,23064.11192993541,22921.6908236973,23206.53303617352,0.999768336666385,0.9997557622556212,0.9997809110771487
"Assemblage1",14985094,"Extrapolation",0,23163.52454300724,23017.296723457064,23309.752362557414,0.9997804363458329,0.9997680273249484,0.9997928453667174
"Assemblage1",15425832,"Extrapolation",0,23257.744875629647,23107.707318857058,23407.782432402237,0.9997919040640618,0.999779680819047,0.9998041273090766
"Assemblage1",15866570,"Extrapolation",0,23347.044118504018,23193.2038132294,23500.884423778636,0.9998027728281428,0.9997907532458584,0.9998147924104271
"Assemblage1",16307308,"Extrapolation",0,23431.679298151426,23274.052778712055,23589.305817590797,0.9998130739212017,0.999801273530757,0.99982487431164635
