"name","observedRichness","continent","est","lower","upper","increasePercent","increase","statistic","Chao_increase","colourBar"
"Antigua and Barbuda",3,"North America",3,0,0.5030000000000001,0,0,"iChao",0,-15
"Aruba",2,"North America",2,0,1.5950000000000002,0,0,"iChao",0,-15
"Cook Islands",4,"Oceania",4.29,0.022499999999999964,4.414,7.250000000000001,0.29000000000000004,"iChao",0.29000000000000004,-15
"Saint-Martin",5,"North America",5,0,0.9180000000000001,0,0,"iChao",0,-15
"Cayman Islands",4,"North America",5.75,0.1559999999999997,19.607,43.75,1.75,"iChao",1.75,-15
"Faroe Islands",6,"Europe",7.333,0.15200000000000014,11.707,22.21666666666666,1.3330000000000002,"iChao",1.3330000000000002,-15
"Bermuda",7,"North America",8.969999999999999,0.17849999999999966,21.7585,28.142857142857135,1.9699999999999989,"iChao",1.9699999999999989,-15
"Saint Pierre and Miquelon",7,"North America",8.5,0.6600000000000001,3.4109999999999996,21.42857142857142,1.5,"iChao",1.5,-15
"Qatar",8,"Asia",10.652,0.6440000000000001,20.398,33.14999999999999,2.6519999999999992,"iChao",2.6519999999999992,-15
"Palau",11,"Oceania",17.7165,1.4640000000000004,25.125999999999998,61.05909090909092,6.7165,"iChao",6.7165,-15
"Sint Maarten",13,"North America",20.9045,1.4939999999999998,39.6525,60.80384615384615,7.904499999999999,"iChao",7.904499999999999,-15
"Guam",11,"Oceania",17.947499999999998,1.2379999999999995,36.5065,63.159090909090885,6.947499999999998,"iChao",6.947499999999998,-15
"Guinea-Bissau",13,"Africa",20.188,1.9514999999999993,37.8395,55.29230769230771,7.188000000000002,"iChao",7.188000000000002,-15
"Barbados",9,"North America",18.182499999999997,1.6159999999999997,50.712,102.02777777777774,9.182499999999996,"iChao",9.182499999999996,-15
"Curaçao",17,"South America",21.2955,0.8864999999999981,16.705,25.26764705882354,4.2955000000000005,"iChao",4.2955000000000005,-15
"N. Mariana",14,"Oceania",21.1935,1.3179999999999996,39.8295,51.38214285714287,7.1935,"iChao",7.1935,-15
"Macao",19,"Asia",23.528,1.474499999999999,14.268500000000003,23.831578947368403,4.527999999999999,"iChao",4.527999999999999,-15
"Grenada",14,"North America",27.394,4.062999999999999,57.554,95.67142857142856,13.393999999999998,"iChao",13.393999999999998,-15
"Montserrat",17,"North America",27.2245,2.8290000000000006,35.022499999999994,60.14411764705883,10.2245,"iChao",10.2245,-15
"Timor-Leste",19,"Asia",23.7275,1.0055000000000014,23.001000000000005,24.88157894736842,4.727499999999999,"iChao",4.727499999999999,-15
"French Polynesia",18,"Oceania",25.223,1.559000000000001,33.4875,40.127777777777766,7.222999999999999,"iChao",7.222999999999999,-15
"Monaco",6,"Europe",12.5,0.8940000000000001,38.153,108.33333333333334,6.5,"iChao",6.5,-15
"Vanuatu",18,"Oceania",27.820500000000003,3.621500000000001,28.475,54.55833333333335,9.820500000000004,"iChao",9.820500000000004,-15
"Comoros",21,"Africa",32.216499999999996,2.9505000000000017,43.1335,53.41190476190474,11.216499999999996,"iChao",11.216499999999996,-15
"Cabo Verde",23,"Africa",29.5435,1.7920000000000016,24.606499999999997,28.449999999999996,6.543500000000002,"iChao",6.543500000000002,-15
"Samoa",19,"Oceania",34.1275,5.456000000000003,42.834,79.61842105263158,15.127499999999998,"iChao",15.127499999999998,-15
"Anguilla",24,"North America",38.2115,4.9345,39.373000000000005,59.21458333333334,14.2115,"iChao",14.2115,-15
"Eswatini",24,"Africa",41.018,5.110999999999997,54.98400000000001,70.90833333333333,17.018,"iChao",17.018,-15
"Fiji",33,"Oceania",40.77,2.4325000000000045,31.819500000000005,23.545454545454557,7.770000000000003,"iChao",7.770000000000003,-15
"Bangladesh",27,"Asia",42.958,6.096000000000004,42.663,59.1037037037037,15.957999999999998,"iChao",15.957999999999998,-15
"New Zealand",46,"Oceania",48.562,0.46699999999999875,11.064,5.569565217391292,2.5619999999999976,"iChao",2.5619999999999976,-15
"Saint Lucia",32,"North America",62.3365,12.697000000000003,71.6955,94.8015625,30.3365,"iChao",30.3365,-15
"Dominica",34,"North America",64.9295,8.734499999999997,103.65700000000001,90.96911764705884,30.929500000000004,"iChao",30.929500000000004,-15
"Bahamas",48,"North America",65.596,8.843499999999999,37.74549999999999,36.658333333333346,17.596000000000004,"iChao",17.596000000000004,-15
"Gambia",53,"Africa",80.967,13.645499999999998,68.4235,52.76792452830187,27.967,"iChao",27.967,-15
"SV & Grenadines",48,"North America",74.9405,12.7605,56.8365,56.12604166666666,26.9405,"iChao",26.9405,-15
"Rwanda",51,"Africa",79.44200000000001,14.326499999999996,58.424499999999995,55.76862745098041,28.442000000000007,"iChao",28.442000000000007,-15
"Brunei Darussalam",49,"Asia",86.4315,17.794999999999987,82.32650000000001,76.39081632653063,37.4315,"iChao",37.4315,-15
"Andorra",55,"Europe",80.23150000000001,14.421500000000009,44.483999999999995,45.875454545454566,25.23150000000001,"iChao",25.23150000000001,-15
"Bhutan",60,"Asia",86.069,11.971499999999992,60.2765,43.44833333333333,26.069000000000003,"iChao",26.069000000000003,-15
"Haiti",50,"North America",84.9735,18.082499999999996,66.8915,69.947,34.9735,"iChao",34.9735,-15
"Isle of Man",66,"Europe",75.021,2.4779999999999944,33.896,13.668181818181813,9.021,"iChao",9.021,-15
