"level","n","observedRichness","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iChao_est","iChao_lower","iChao_upper","iChao_increasePercent"
"Afghanistan",1633,305,477,416,539,36.11,509,454,584,40.07
"Albania",2155,249,367,320,414,32.17,395,360,442,37
"Algeria",7599,858,1223,1128,1319,29.85,1298,1225,1385,33.88
"Andorra",120,55,70,49,90,20.95,73,67,82,24.8
"Angola",1936,188,376,308,445,50.07,400,324,517,52.96
"Anguilla",61,24,52,4,100,53.58,56,35,115,56.94
"Argentina",62677,1277,1628,1552,1704,21.57,1703,1635,1783,25.01
"Armenia",3112,536,773,701,844,30.62,827,773,893,35.17
"Australia",243172,1615,1818,1759,1876,11.15,1865,1820,1919,13.41
"Austria",42849,735,875,820,930,16,909,872,956,19.11
"Azerbaijan",1441,583,997,901,1094,41.53,1084,999,1186,46.21
"Bahamas",496,48,60,39,81,20.06,63,56,76,23.87
"Bangladesh",210,27,35,14,57,23.14,37,30,56,26.62
"Belarus",3845,333,454,403,506,26.72,478,439,531,30.32
"Belgium",423244,423,464,430,498,8.8,473,452,510,10.55
"Belize",2965,163,200,170,229,18.31,208,191,233,21.47
"Benin",252,47,196,0,439,76.07,200,96,524,76.51
"Bermuda",54,7,10,4,16,29.61,11,8,30,34.54
"Bhutan",448,60,100,30,169,39.95,104,77,170,42.04
"Bolivia",17369,696,1008,912,1104,30.97,1045,966,1148,33.42
"Bosnia and Herzegovina",1254,244,390,328,451,37.37,417,368,485,41.43
"Botswana",784,154,212,174,251,27.38,225,205,254,31.64
"Brazil",183827,2072,2590,2490,2690,20,2711,2630,2804,23.58
"Brunei Darussalam",158,49,60,38,82,18.39,60,53,84,18.39
"Bulgaria",10314,749,998,926,1071,24.97,1061,1011,1119,29.38
"Burkina Faso",37923,69,112,26,197,38.21,115,84,215,40.15
"Burundi",107,87,198,129,267,56.1,198,145,301,56.1
"Cambodia",440,70,90,68,112,22.48,94,83,113,25.5
"Cameroon",1825,261,431,350,512,39.46,463,405,544,43.63
"Canada",144303,920,1099,1036,1162,16.27,1136,1093,1189,18.99
"Central African Republic",344,89,106,85,127,15.92,110,103,120,18.9
"Chad",88323,679,783,739,827,13.25,808,779,846,15.98
"Chile",76767,502,560,525,596,10.41,575,555,602,12.68
"China",32854,1367,1922,1819,2025,28.88,2029,1932,2143,32.63
"Colombia",42788,814,1063,995,1130,23.41,1108,1046,1186,26.54
"Comoros",214,21,39,10,68,46.04,41,25,129,48.64
"Costa Rica",69747,588,697,654,741,15.69,717,679,772,18
"Croatia",11020,733,1056,965,1146,30.56,1101,1029,1191,33.43
"Cuba",1594,111,145,109,181,23.44,151,132,189,26.66
"Cyprus",1252,142,152,133,171,6.62,155,150,162,8.14
"Czech Republic",10636,609,729,680,778,16.46,759,733,790,19.76
"Democratic Republic of the Congo",10418,769,1083,1000,1167,29.02,1156,1092,1232,33.46
"Denmark",19858,298,340,313,368,12.48,350,332,377,14.89
"Dominica",288,34,51,20,81,32.82,52,39,94,34.75
"Dominican Republic",1159,71,83,62,104,14.45,85,77,106,16.53
"Ecuador",15916,566,711,660,762,20.36,743,708,788,23.87
"Egypt",6165,490,678,614,742,27.75,725,679,782,32.41
"El Salvador",2140,121,159,127,191,23.94,159,138,204,23.94
