year,n,cumulative
1751,1,1
1758,46,47
1761,12,59
1762,1,60
1763,16,76
1764,1,77
1766,3,80
1767,8,88
1770,10,98
1771,11,109
1772,2,111
1773,26,137
1775,57,194
1776,36,230
1777,5,235
1778,6,241
1781,35,276
1783,1,277
1785,17,294
1787,20,314
1789,30,344
1790,43,387
1791,36,423
1792,7,430
1793,75,505
1794,6,511
1797,3,514
1798,84,598
1799,14,612
1801,13,625
1802,219,844
1804,94,938
1805,20,958
1806,48,1006
1807,22,1028
1808,11,1039
1809,31,1070
1810,2,1072
1811,12,1084
1812,6,1090
1817,12,1102
1818,1,1103
1819,2,1105
1821,1,1106
1822,1,1107
1823,4,1111
1824,16,1127
1825,15,1142
1826,1,1143
1828,6,1149
1831,6,1155
1832,78,1233
1833,8,1241
1834,12,1253
1835,33,1286
1836,25,1311
1837,92,1403
1838,65,1468
1839,3,1471
1840,37,1508
1841,298,1806
1842,13,1819
1843,13,1832
1844,9,1841
1845,46,1887
1846,17,1904
1847,16,1920
1848,42,1962
1849,45,2007
1850,4,2011
1851,53,2064
1852,136,2200
1853,544,2744
1854,253,2997
1855,17,3014
1856,5,3019
1857,89,3108
1858,23,3131
1859,12,3143
1860,46,3189
1861,67,3256
1862,52,3308
1863,91,3399
1864,94,3493
1865,66,3559
1866,13,3572
1867,16,3588
1868,91,3679
1869,93,3772
1870,102,3874
1871,158,4032
1872,276,4308
1873,104,4412
1874,139,4551
1875,226,4777
1876,218,4995
1877,82,5077
1878,436,5513
1879,489,6002
1880,47,6049
1881,15,6064
1882,117,6181
1883,47,6228
1884,90,6318
1885,9,6327
1886,59,6386
1887,56,6442
1888,91,6533
1889,40,6573
1890,165,6738
1891,109,6847
1892,60,6907
1893,167,7074
1894,119,7193
1895,441,7634
1896,419,8053
1897,329,8382
1898,225,8607
1899,304,8911
1900,201,9112
1901,203,9315
1902,296,9611
1903,747,10358
1904,508,10866
1905,543,11409
1906,368,11777
1907,272,12049
1908,321,12370
1909,536,12906
1910,544,13450
1911,618,14068
1912,388,14456
1913,458,14914
1914,561,15475
1915,246,15721
1916,351,16072
1917,282,16354
1918,177,16531
1919,287,16818
1920,187,17005
1921,293,17298
1922,314,17612
1923,221,17833
1924,506,18339
1925,370,18709
1926,331,19040
1927,143,19183
1928,184,19367
1929,371,19738
1930,362,20100
1931,437,20537
1932,200,20737
1933,314,21051
1934,320,21371
1935,476,21847
1936,500,22347
1937,622,22969
1938,173,23142
1939,343,23485
1940,136,23621
1941,77,23698
1942,95,23793
1943,144,23937
1944,130,24067
1945,125,24192
1946,139,24331
1947,132,24463
1948,65,24528
1949,185,24713
1950,118,24831
1951,168,24999
1952,48,25047
1953,69,25116
1954,158,25274
1955,42,25316
1956,93,25409
1957,80,25489
1958,75,25564
1959,32,25596
1960,159,25755
1961,92,25847
1962,202,26049
1963,37,26086
1964,114,26200
1965,225,26425
1966,39,26464
1967,101,26565
1968,143,26708
1969,111,26819
1970,85,26904
1971,26,26930
1972,146,27076
1973,101,27177
1974,135,27312
1975,282,27594
1976,67,27661
1977,93,27754
1978,126,27880
1979,100,27980
1980,142,28122
1981,70,28192
1982,130,28322
1983,106,28428
1984,126,28554
1985,61,28615
1986,98,28713
1987,51,28764
1988,88,28852
1989,103,28955
1990,61,29016
1991,142,29158
1992,145,29303
1993,129,29432
1994,78,29510
1995,62,29572
1996,38,29610
1997,62,29672
1998,81,29753
1999,89,29842
2000,59,29901
2001,105,30006
2002,56,30062
2003,51,30113
2004,62,30175
2005,46,30221
2006,55,30276
2007,60,30336
2008,27,30363
2009,77,30440
2010,29,30469
2011,31,30500
2012,38,30538
2013,31,30569
2014,19,30588
2015,29,30617
2016,17,30634
2017,13,30647
2018,49,30696
2019,20,30716
2020,10,30726
2021,7,30733
2022,23,30756
2023,1,30757
NA,74,30831
