scientificName,year,n,cumulative
"Xylocopa artifex Smith, 1874",1700,1,1
"Centris nigrocaerulea Smith, 1874",1700,1,2
"Melissodes trinodis Robertson, 1901",1700,1,3
"Agapostemon sericeus (Forster, 1771)",1700,1,4
"Protandrena aestivalis (Provancher, 1882)",1700,1,5
"Andrena rehni Viereck, 1907",1700,1,6
"Andrena platyparia Robertson, 1895",1700,1,7
"Stenotritus nitidus (Smith, 1879)",1700,1,8
"Panurginus potentillae (Crawford, 1916)",1700,1,9
"Andrena frigida Smith, 1853",1700,1,10
"Andrena carlini Cockerell, 1901",1700,1,11
"Andrena bisalicis Viereck, 1908",1700,1,12
"Andrena personata Robertson, 1897",1700,1,13
"Andrena forbesii Robertson, 1891",1700,1,14
"Andrena algida Smith, 1853",1700,1,15
"Andrena simplex Smith, 1853",1700,1,16
"Andrena crataegi Robertson, 1893",1700,1,17
"Andrena carolina Viereck, 1909",1700,1,18
"Andrena perplexa Smith, 1853",1700,1,19
"Hylaeus mesillae (Cockerell, 1896)",1700,1,20
"Coelioxys modestus Smith, 1854",1700,1,21
"Hylaeus saniculae (Robertson, 1896)",1700,1,22
"Osmia lignaria Say, 1837",1700,1,23
"Andrena violae Robertson, 1891",1700,1,24
"Hylaeus modestus Say, 1837",1700,1,25
"Hylaeus annulatus (Linnaeus, 1758)",1700,1,26
"Hylaeus verticalis (Cresson, 1869)",1700,1,27
"Colletes inaequalis Say, 1837",1700,1,28
"Megachile centuncularis (Linnaeus, 1758)",1700,1,29
"Megachile policaris Say, 1831",1700,1,30
"Megachile latimanus Say, 1823",1700,1,31
"Heriades carinata Cresson, 1864",1700,1,32
"Osmia caerulescens (Linnaeus, 1758)",1700,1,33
"Coelioxys dolichos Fox, 1890",1700,1,34
"Megachile mendica Cresson, 1878",1700,1,35
"Megachile brevis Say, 1837",1700,1,36
"Megachile campanulae (Robertson, 1903)",1700,1,37
"Chelostoma californicum Cresson, 1878",1700,1,38
"Lithurgopsis apicalis (Cresson, 1875)",1700,1,39
"Hoplitis spoliata (Provancher, 1888)",1700,1,40
"Megachile gemula Cresson, 1878",1700,1,41
"Megachile petulans Cresson, 1878",1700,1,42
"Osmia ribifloris Cockerell, 1900",1700,1,43
"Megachile xylocopoides Smith, 1853",1700,1,44
"Osmia chalybea Smith, 1853",1700,1,45
"Osmia bucephala Cresson, 1864",1700,1,46
"Chelostoma philadelphi (Robertson, 1891)",1700,1,47
"Hoplitis simplex (Cresson, 1864)",1700,1,48
"Lasioglossum melanopterum (Cockerell, 1914)",1700,1,49
"Leioproctus nitidulus (Cockerell, 1916)",1700,1,50
"Andrena imitatrix Cresson, 1872",1700,1,51
"Andrena fenningeri Viereck, 1922",1700,1,52
"Colletes aestivalis Patton, 1879",1700,1,53
"Colletes consors Cresson, 1868",1700,1,54
"Andrena wilkella (Kirby, 1802)",1700,1,55
"Osmia pumila Cresson, 1864",1700,1,56
"Osmia proxima Cresson, 1864",1700,1,57
"Megachile texana Cresson, 1878",1700,1,58
"Bombus terrestris (Linnaeus, 1758)",1720,1,59
"Nomada signata Jurine, 1807",1738,1,60
"Anthophora furcata (Panzer, 1798)",1738,1,61
"Nomada sexfasciata Panzer, 1799",1738,1,62
"Bombus distinguendus Morawitz, 1869",1738,1,63
"Nomada sheppardana (Kirby, 1802)",1738,1,64
"Nomada fulvicornis Fabricius, 1793",1738,1,65
"Bombus ruderatus (Fabricius, 1775)",1738,1,66
"Eucera longicornis (Linnaeus, 1758)",1738,1,67
"Bombus muscorum (Linnaeus, 1758)",1738,1,68
"Nomada ruficornis (Linnaeus, 1758)",1738,1,69
"Bombus jonellus (Kirby, 1802)",1738,1,70
"Melecta albifrons (Forster, 1771)",1738,1,71
"Anthophora bimaculata (Panzer, 1798)",1738,1,72
"Epeolus cruciger (Panzer, 1799)",1738,1,73
"Bombus rupestris (Fabricius, 1793)",1738,1,74
"Bombus sylvarum (Linnaeus, 1761)",1738,1,75
"Nomada lathburiana (Kirby, 1802)",1738,1,76
"Anthophora retusa (Linnaeus, 1758)",1738,1,77
"Bombus ruderarius (Müller, 1776)",1738,1,78
"Nomada flavopicta (Kirby, 1802)",1738,1,79
"Anthophora quadrimaculata (Panzer, 1798)",1738,1,80
"Lasioglossum punctatissimum (Schenck, 1853)",1738,1,81
"Lasioglossum leucopus (Kirby, 1802)",1738,1,82
"Melitta leporina (Panzer, 1799)",1738,1,83
