year,n,cumulative
1758,30,30
1761,6,36
1763,5,41
1766,1,42
1767,5,47
1770,4,51
1771,4,55
1772,1,56
1773,7,63
1775,30,93
1776,2,95
1777,3,98
1778,3,101
1781,16,117
1785,3,120
1787,13,133
1789,11,144
1790,8,152
1791,4,156
1792,4,160
1793,31,191
1794,3,194
1798,23,217
1799,9,226
1801,3,229
1802,69,298
1804,38,336
1805,4,340
1806,9,349
1807,8,357
1808,7,364
1809,18,382
1810,2,384
1811,14,398
1812,4,402
1817,5,407
1823,2,409
1824,9,418
1825,7,425
1828,10,435
1831,4,439
1832,37,476
1833,5,481
1834,4,485
1835,17,502
1836,27,529
1837,30,559
1838,33,592
1839,10,602
1840,18,620
1841,152,772
1842,8,780
1843,3,783
1844,3,786
1845,36,822
1846,8,830
1847,5,835
1848,25,860
1849,9,869
1850,3,872
1851,52,924
1852,73,997
1853,278,1275
1854,182,1457
1855,1,1458
1856,2,1460
1857,43,1503
1858,10,1513
1859,10,1523
1860,23,1546
1861,29,1575
1862,20,1595
1863,51,1646
1864,30,1676
1865,44,1720
1866,7,1727
1867,8,1735
1868,55,1790
1869,60,1850
1870,37,1887
1871,63,1950
1872,93,2043
1873,40,2083
1874,81,2164
1875,167,2331
1876,154,2485
1877,55,2540
1878,242,2782
1879,305,3087
1880,39,3126
1881,10,3136
1882,54,3190
1883,30,3220
1884,43,3263
1885,2,3265
1886,50,3315
1887,41,3356
1888,42,3398
1889,15,3413
1890,77,3490
1891,60,3550
1892,30,3580
1893,95,3675
1894,82,3757
1895,252,4009
1896,174,4183
1897,200,4383
1898,119,4502
1899,219,4721
1900,163,4884
1901,115,4999
1902,168,5167
1903,378,5545
1904,294,5839
1905,269,6108
1906,205,6313
1907,153,6466
1908,237,6703
1909,331,7034
1910,380,7414
1911,292,7706
1912,234,7940
1913,230,8170
1914,249,8419
1915,130,8549
1916,189,8738
1917,161,8899
1918,100,8999
1919,141,9140
1920,78,9218
1921,139,9357
1922,174,9531
1923,108,9639
1924,159,9798
1925,173,9971
1926,170,10141
1927,79,10220
1928,94,10314
1929,152,10466
1930,212,10678
1931,153,10831
1932,81,10912
1933,110,11022
1934,125,11147
1935,181,11328
1936,227,11555
1937,244,11799
1938,85,11884
1939,148,12032
1940,68,12100
1941,58,12158
1942,42,12200
1943,62,12262
1944,46,12308
1945,83,12391
1946,86,12477
1947,74,12551
1948,52,12603
1949,75,12678
1950,59,12737
1951,92,12829
1952,34,12863
1953,43,12906
1954,130,13036
1955,50,13086
1956,90,13176
1957,63,13239
1958,83,13322
1959,25,13347
1960,125,13472
1961,75,13547
1962,162,13709
1963,33,13742
1964,142,13884
1965,200,14084
1966,32,14116
1967,126,14242
1968,237,14479
1969,103,14582
1970,49,14631
1971,67,14698
1972,117,14815
1973,80,14895
1974,118,15013
1975,194,15207
1976,87,15294
1977,130,15424
1978,107,15531
1979,82,15613
1980,228,15841
1981,85,15926
1982,128,16054
1983,124,16178
1984,106,16284
1985,51,16335
1986,123,16458
1987,82,16540
1988,108,16648
1989,142,16790
1990,83,16873
1991,114,16987
1992,99,17086
1993,148,17234
1994,91,17325
1995,147,17472
1996,62,17534
1997,84,17618
1998,137,17755
1999,149,17904
2000,106,18010
2001,153,18163
2002,124,18287
2003,122,18409
2004,114,18523
2005,131,18654
2006,98,18752
2007,149,18901
2008,115,19016
2009,199,19215
2010,130,19345
2011,105,19450
2012,144,19594
2013,161,19755
2014,128,19883
2015,90,19973
2016,87,20060
2017,85,20145
2018,154,20299
2019,130,20429
2020,164,20593
2021,61,20654
2022,186,20840
2023,50,20890
2024,44,20934
