"name","scale","nChao","iChao_est","iChao_lower","iChao_upper","observedRichness","level","niNEXT","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iNEXT_increase","iChao_increasePercent","iChao_increase","cleanRecords","elevationalRange","Code","year_GDPc","GPD_per_cap","year_TerEd","percent_ed","continent","mean_roadDist","median_roadDist","n_lit","n_occ","propOccurrences","area_m"
"British Indian Ocean Territory","Country",4,1,1,1.276,1,"Country",4,1,1,1,0,0,0,0,4,12,NA,NA,NA,NA,NA,"Seven seas (open ocean)",NA,NA,NA,NA,NA,132407812.32868525
"Saint Helena","Country",3,1,1,1.464,1,"Country",3,1,1,1,0,0,0,0,3,643,NA,NA,NA,NA,NA,"Seven seas (open ocean)",340.928478328676,340.928478328676,NA,NA,NA,185836378.32595935
"Antigua and Barbuda","Country",15,3,3,3.503,3,"Country",15,3,2.6389815002281485,3.3610184997718515,0,0,0,0,15,279,NA,NA,NA,NA,NA,NA,995.366106670895,613.686384940957,NA,NA,NA,432831288.30035114
"Aruba","Country",24,2,2,3.595,2,"Country",24,2,1.057462495635864,2.942537504364136,0,0,0,0,24,127,NA,NA,NA,NA,NA,"North America",441.555838277926,441.555838277926,NA,NA,NA,155263197.19798118
"Bahrain","Country",16,4.470000000000001,4.0275,11.759,4,"Country",16,4.465144230769231,2.483850366604625,7.026458420964373,11.62860576923077,0.46514423076923084,11.750000000000016,0.47000000000000064,7,92,"BHR",2022,38651.6,2020,10.7,"Asia",1078.14475969542,1278.74566907406,3,1,0.25,541461331.8152589
"Cook Islands","Country",12,4.29,4.0225,8.292,4,"Country",12,4.227272727272727,2.321055201633479,6.133490252911975,5.681818181818166,0.22727272727272663,7.250000000000001,0.29000000000000004,10,398,NA,NA,NA,NA,NA,"Oceania",851.141780725502,851.141780725502,1,3,0.75,60653677.28624762
"Saint-Martin","Country",20,5,5,5.918,5,"Country",20,5,4.101003975623533,5.898996024376467,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49002332.79759201
"Cayman Islands","Country",8.5,5.1625,4.1419999999999995,17.7055,4,"Country",8.5,5.102272727272727,1.3932906985814837,8.43747410922563,27.556818181818166,1.1022727272727266,29.062499999999993,1.1624999999999996,7,39,NA,NA,NA,NA,NA,"North America",2771.47194676352,2235.9269801233,1,3,0.75,301321020.5660896
"São Tomé","Country",34,8.5595,7.169499999999999,21.537,7,"Country",34,8.559157754010695,5.387109817922129,13.136765054290855,22.273682200152777,1.5591577540106947,22.278571428571436,1.5594999999999999,11,1758,"STP",2022,3751.6428,NA,NA,"Africa",2015.84592774529,1670.65640810088,6,1,0.14285714285714285,985862851.8084313
"Saint Pierre and Miquelon","Country",19.5,7.75,7.33,9.5395,7,"Country",19.5,7,4.4729459032886805,9.52705409671132,0,0,10.71428571428572,0.75,18,186,NA,NA,NA,NA,NA,"North America",18601.7102331176,15770.4292593821,1,6,0.8571428571428571,205241702.31651428
"Bermuda","Country",64,9.646,7.3100000000000005,29.634,7,"Country",64,9.458646616541353,4.99470051248908,14.02232283609818,35.12352309344791,2.458646616541353,37.80000000000001,2.646000000000001,41,48,NA,NA,NA,NA,NA,"North America",2633.99009929802,2633.99009929802,4,3,0.42857142857142855,65982386.24970758
"Kuwait","Country",494.5,9,9,10.428,9,"Country",494.5,9,7.871013252198687,10.171672222033408,0,0,0,0,395,293,"KWT",2022,71533.516,2020,6.3,"Asia",6249.59189343104,4212.23489739346,4,5,0.5555555555555556,17329662356.138885
"Faroe Islands","Country",9,7.333,6.152,17.707,6,"Country",9,7.333333333333333,0.24151653376223248,14.651084421743487,22.22222222222221,1.333333333333333,22.21666666666666,1.3330000000000002,2,882,NA,NA,NA,NA,NA,"Europe",1473.6287135838,774.392228600234,5,1,0.16666666666666666,1035135342.8945549
"Qatar","Country",26.5,10.368,8.404,19.944,8,"Country",26.5,9.935483870967742,3.441531513556802,16.419878283336864,24.193548387096776,1.935483870967742,29.600000000000005,2.3680000000000003,13,90,"QAT",2022,149171.11,2020,14.9,"Asia",3851.62353464597,3175.6092713613,4,4,0.5,11074167472.605629
"Palau","Country",33,16.133,12.152000000000001,35.242000000000004,11,"Country",33,15.133158289572393,3.666468914205751,25.9286351197887,37.57416626883994,4.133158289572393,46.66363636363635,5.132999999999999,13,171,NA,2023,14563,NA,NA,"Oceania",6227.24749750234,5262.95930116082,7,4,0.36363636363636365,340619656.4033208
"Guinea-Bissau","Country",40,17.552500000000002,13.8735,37.277,13,"Country",40,17.24,4.67821575660028,31.633883685941477,32.6153846153846,4.239999999999998,35.01923076923079,4.552500000000002,6,251,"GNB",2022,1625.3876,NA,NA,"Africa",1429.43017929459,770.547505043738,12,1,0.07692307692307693,32056090437.620796
"Curaçao","Country",427,20.5295,17.6065,32.827,17,"Country",427,20.076363142718048,10.522056828960434,29.967826197796853,18.096253780694393,3.076363142718048,20.761764705882335,3.5294999999999987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429683353.15417355
"Montserrat","Country",58,26.0355,19.1815,62.342,17,"Country",58,25.351602276130578,8.775163500863533,45.557795180310734,49.12707221253281,8.351602276130578,53.149999999999984,9.035499999999999,23,759,NA,NA,NA,NA,NA,"North America",1410.95901886641,1410.95901886641,11,6,0.35294117647058826,79781359.34159136
"Macao","Country",194.5,20.880000000000003,19.534,25.700499999999998,19,"Country",194.5,20.553344286622853,11.982322700316178,29.902423596989394,8.175496245383428,1.5533442866228526,9.894736842105267,1.8800000000000026,61,265,NA,NA,NA,NA,NA,"Asia",NA,NA,12,7,0.3684210526315789,22739557.425197456
"Guam","Country",171,16.0955,11.659500000000001,46.339,11,"Country",171,15.470112563074135,7.583404771796172,24.460161127247154,40.637386937037604,4.470112563074135,46.322727272727285,5.095500000000001,89,333,NA,2022,40227,NA,NA,"Oceania",NA,NA,5,6,0.5454545454545454,482213687.74397606
"Timor-Leste","Country",194,20.85,19.2775,33.784,19,"Country",194,20.741083916083916,12.033502365629438,29.697946267038702,9.163599558336411,1.741083916083916,9.736842105263154,1.8500000000000014,101,2717,NA,NA,NA,NA,NA,"Asia",3887.16501378158,3131.05091161561,10,9,0.47368421052631576,15020735896.073454
"Vanuatu","Country",47,23.152,19.987000000000002,31.9715,18,"Country",47,22.402127659574468,6.744680729821405,39.51578438645767,24.456264775413715,4.402127659574468,28.622222222222238,5.152000000000001,20,1654,NA,2023,3367,NA,NA,"Oceania",15403.1434419268,4221.59443473609,11,7,0.3888888888888889,11292281164.76271
"Sint Maarten","Country",89,18.0165,13.906500000000001,41.668499999999995,13,"Country",89,17.20780632411067,8.59354863872693,28.80716328902351,32.36774095469745,4.2078063241106705,38.58846153846154,5.016500000000001,40,275,NA,NA,NA,NA,NA,"North America",206.086760272817,206.086760272817,9,4,0.3076923076923077,41839743.60979075
"Grenada","Country",25,25.705,17.52,58.9815,14,"Country",25,25.033793103448275,2.199991946841111,47.82824494138664,78.81280788177338,11.033793103448275,83.60714285714283,11.704999999999998,10,636,NA,NA,NA,NA,NA,"North America",1506.22510470824,1564.44702835018,8,6,0.42857142857142855,286021216.79856545
"Mauritius","Country",69,24.085500000000003,19.756,40.138000000000005,18,"Country",69,23.054261823413057,8.152120983928173,38.374208265676245,28.07923235229477,5.054261823413057,33.80833333333335,6.085500000000003,19,718,"MUS",2022,20643.094,2020,6.6,"Seven seas (open ocean)",1122.33446407062,755.43632599174,20,4,0.16666666666666666,1879251096.6584642
"Mauritius","Country",69,24.085500000000003,19.756,40.138000000000005,18,"Country",69,23.054261823413057,8.152120983928173,38.374208265676245,28.07923235229477,5.054261823413057,33.80833333333335,6.085500000000003,19,718,"MUS",2022,20643.094,2020,4,"Seven seas (open ocean)",1122.33446407062,755.43632599174,20,4,0.16666666666666666,1879251096.6584642
"Samoa","Country",38,27.8365,23.137500000000003,42.0655,19,"Country",38,26.98382509303562,6.174711942794756,47.07262365310042,42.02013206860853,7.98382509303562,46.50789473684212,8.836500000000001,9,1779,NA,2023,4139,NA,NA,"Oceania",3562.01874817419,2802.64664726582,14,5,0.2631578947368421,2701753949.1292562
"N. Mariana","Country",170,19.219,14.7375,54.709500000000006,14,"Country",170,19.219156840575028,9.810330106887804,28.587145728987963,37.279691718393046,5.219156840575028,37.278571428571425,5.219000000000001,86,773,NA,2020,17303,NA,NA,"Oceania",NA,NA,8,6,0.42857142857142855,393511134.8779447
"Monaco","Country",13.5,11.571,6.8945,42.4105,6,"Country",13.5,11.571428571428571,4.296954979115703,18.84590216374144,92.85714285714286,5.571428571428571,92.85,5.571,8,617,NA,NA,NA,NA,NA,"Europe",NA,NA,2,4,0.6666666666666666,12413442.298156071
"Comoros","Country",214,28.0015,22.526,50.419,21,"Country",214,27.220245464367714,13.044187629964377,44.31356774337978,29.620216496989116,6.220245464367714,33.340476190476195,7.0015,50,2319,"COM",2022,1900.3983,NA,NA,"Africa",2024.66133092635,1188.55973679258,18,3,0.14285714285714285,1585848746.7110367
"French Polynesia","Country",262,25.5375,19.209,57.622,18,"Country",262,25.09993954910746,9.792767022519413,39.61768695340376,39.444108606152554,7.099939549107461,41.875000000000014,7.537500000000001,105,1511,NA,2022,18984,NA,NA,"Oceania",378433.171078634,124910.746720093,11,7,0.3888888888888889,2614778765.8208704
"Anguilla","Country",89,33.2645,26.206,56.6525,24,"Country",89,33.26092397186147,11.66870756944115,58.65497124116044,38.58718321608947,9.260923971861473,38.602083333333326,9.264499999999998,15,44,NA,NA,NA,NA,NA,"North America",216.919050604769,216.919050604769,20,4,0.16666666666666666,83277024.07804292
"Cabo Verde","Country",163,27.875999999999998,24.389499999999998,41.1945,23,"Country",163,27.43859703981655,9.098511125247095,48.162495175117854,19.29824799920239,4.43859703981655,21.199999999999996,4.875999999999998,75,2503,"CPV",2022,7202.767,NA,NA,"Africa",1333.5084342056,910.7011547749,11,12,0.5217391304347826,3585102519.0271215
