"scientificName","country_suggested","n","dataFrom"
"Aageocolletes cyaneorufus (Cockerell, 1930)","Australia",1,"points"
"Aageocolletes maculatus (Rayment, 1930)","Australia",118,"points"
"Aageocolletes platycephalus (Cockerell, 1912)","Australia",132,"points"
"Acamptopoeum argentinum (Friese, 1906)","Argentina",89,"points"
"Acamptopoeum calchaqui Compagnucci, 2004","Argentina",2,"points"
"Acamptopoeum colombiense Shinn, 1965","Colombia",9,"points"
"Acamptopoeum melanogaster Compagnucci, 2004","Argentina",51,"points"
"Acamptopoeum prinii (Holmberg, 1884)","Argentina",94,"points"
"Acamptopoeum prinii (Holmberg, 1884)","Brazil",280,"points"
"Acamptopoeum prinii (Holmberg, 1884)","Colombia",2,"points"
"Acamptopoeum prinii (Holmberg, 1884)","Paraguay",1,"points"
"Acamptopoeum submetallicum (Spinola, 1851)","Argentina",78,"points"
"Acamptopoeum submetallicum (Spinola, 1851)","Chile",2296,"points"
"Acamptopoeum submetallicum (Spinola, 1851)","Peru",2,"points"
"Acamptopoeum vagans (Cockerell, 1926)","Argentina",18,"points"
"Acamptopoeum vagans (Cockerell, 1926)","Ecuador",2,"points"
"Acamptopoeum vagans (Cockerell, 1926)","Peru",35,"points"
"Acanthopus palmatus (Olivier, 1789)","Bolivia",1,"points"
"Acanthopus palmatus (Olivier, 1789)","Brazil",19,"points"
"Acanthopus palmatus (Olivier, 1789)","Colombia",2,"points"
"Acanthopus palmatus (Olivier, 1789)","Guyana",1,"points"
"Acanthopus palmatus (Olivier, 1789)","Peru",3,"points"
"Acanthopus palmatus (Olivier, 1789)","Suriname",3,"points"
"Acanthopus palmatus (Olivier, 1789)","Trinidad and Tobago",10,"points"
"Acanthopus palmatus (Olivier, 1789)","Venezuela",1,"points"
"Acedanthidium flavoclypeatum (Gupta, 1993)","India",1,"points"
"Actenosigynes fulvoniger (Michener, 1989)","Brazil",18,"points"
"Actenosigynes mantiqueirensis Silveira, 2009","Brazil",1,"points"
"Aenarete roigi Engel and Gonzalez, 2022","Argentina",2,"points"
"Aethammobates prionogaster Baker, 1994","Egypt",1,"points"
"Afranthidium abdominale (Friese, 1904)","Namibia",4,"points"
"Afranthidium abdominale (Friese, 1904)","South Africa",45,"points"
"Afranthidium ablusum (Cockerell, 1932)","South Africa",17,"points"
"Afranthidium angulatum (Pasteels, 1984)","South Africa",1,"points"
"Afranthidium biangulatum Pasteels, 1984","Namibia",19,"points"
"Afranthidium biangulatum Pasteels, 1984","South Africa",1,"points"
