n,scientificName,source,database_id,species,family,subfamily,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,doiORurl,publicationYear,Notes,Auth,Title of paper,verbatimScientificName,.invalidName,taxonRank
1,"Euryglossidia singularis (Rayment, 1935)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Packercolletes idiotropoptera (Packer, 2006)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Andrena kurdistanica Engel, 2005",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Lasioglossum forresti (Cockerell, 1906)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Austronomia nivea Pauly, 2009",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Anthophora trichopus Hedicke, 1940",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Coelioxys bertonii Schrottky, 1909",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Coelioxys nigrura Pasteels, 1977",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Megachile galactogagates Gribodo, 1894",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Hylaeus larocai Moure, 1972",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Nomada subscopifera Ducke, 1908",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Amegilla robinae Brooks, 1988",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Steganomus ennediensis Pauly, 1990",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Lasioglossum anguligulare (Blüthgen, 1929)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Augochlora genalis Lepeco and Gonçalvez, 2020",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Lasioglossum monachus (Blüthgen, 1928)",Ascher2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
