"scientificName","n","dataFrom"
"Acamptopoeum argentinum (Friese, 1906)",122,"points"
"Acamptopoeum calchaqui Compagnucci, 2004",2,"points"
"Acamptopoeum colombiense Shinn, 1965",10,"points"
"Acamptopoeum inauratum (Cockerell, 1926)",1,"points"
"Acamptopoeum melanogaster Compagnucci, 2004",53,"points"
"Acamptopoeum prinii (Holmberg, 1884)",432,"points"
"Acamptopoeum submetallicum (Spinola, 1851)",2674,"points"
"Acamptopoeum tintin Compagnucci, 2004",1,"points"
"Acamptopoeum vagans (Cockerell, 1926)",57,"points"
"Acanthopus palmatus (Olivier, 1789)",80,"points"
"Acedanthidium flavoclypeatum (Gupta, 1993)",2,"points"
"Actenosigynes fulvoniger (Michener, 1989)",20,"points"
"Actenosigynes mantiqueirensis Silveira, 2009",1,"points"
"Aethammobates prionogaster Baker, 1994",1,"points"
"Afranthidium abdominale (Friese, 1904)",60,"points"
"Afranthidium ablusum (Cockerell, 1932)",18,"points"
"Afranthidium alaemon (Warncke, 1982)",1,"points"
"Afranthidium alternans (Klug, 1832)",7,"points"
"Afranthidium angulatum (Pasteels, 1984)",1,"points"
"Afranthidium biangulatum Pasteels, 1984",20,"points"
"Afranthidium biserratum (Pasteels, 1984)",1,"points"
"Afranthidium bispinosum Pasteels, 1984",2,"points"
"Afranthidium capicola (Brauns, 1905)",91,"points"
"Afranthidium carduele (Morawitz, 1876)",17,"points"
"Afranthidium concolor (Friese, 1913)",62,"points"
"Afranthidium folliculosum (Buysson, 1897)",38,"points"
"Afranthidium hamaticauda Pasteels, 1984",65,"points"
"Afranthidium herbsti (Pasteels, 1984)",12,"points"
"Afranthidium hoplogastrum (Mavromoustakis, 1934)",11,"points"
"Afranthidium hypocapicola (Mavromoustakis, 1936)",7,"points"
"Afranthidium karrooense (Brauns, 1905)",3,"points"
"Afranthidium malacopygum (Gribodo, 1894)",2,"points"
"Afranthidium melanopoda (Pasteels, 1984)",1,"points"
"Afranthidium murinum (Pasteels, 1984)",4,"points"
"Afranthidium odonturum (Cockerell, 1932)",5,"points"
"Afranthidium pentagonum (Gussakovsky, 1930)",5,"points"
"Afranthidium poecilodontum (Mavromoustakis, 1934)",15,"points"
"Afranthidium polyacanthum (Mavromoustakis, 1938)",8,"points"
"Afranthidium pusillum (Morawitz, 1894)",2,"points"
"Afranthidium reicherti (Brauns, 1929)",79,"points"
"Afranthidium rubellulum (Cockerell, 1932)",52,"points"
"Afranthidium schulthessii (Friese, 1897)",15,"points"
"Afranthidium silverlocki (Mavromoustakis, 1936)",1,"points"
"Afranthidium tergoangulatum Pasteels, 1984",12,"points"
"Afrodasypoda plumipes (Friese, 1912)",19,"points"
"Afroheriades dolichocephala (Friese, 1925)",32,"points"
"Afroheriades gemina (Peters, 1978)",14,"points"
"Afroheriades hyalina Griswold and Gonzalez, 2011",2,"points"
"Afroheriades prima (Peters, 1970)",43,"points"
"Afromelecta bicuspis (Stadelmann, 1898)",3,"points"
"Afromelecta fulvohirta (Cameron, 1905)",22,"points"
"Afromelecta lieftincki Eardley, 1991",3,"points"
"Afronomia circumnitens (Cockerell, 1946)",11,"points"
"Afronomia fimbriata (Vachal, 1897)",50,"points"
"Afronomia pallidibasis (Cockerell, 1936)",3,"points"
"Afronomia picardi (Gribodo, 1894)",2,"points"
"Afronomia sjoestedti (Friese, 1909)",30,"points"
"Afronomia speciosana (Strand, 1913)",69,"points"
"Afronomia stordyi (Cockerell, 1943)",1,"points"
"Afrostelis aethiopica (Friese, 1925)",50,"points"
"Afrostelis ogilviei Cockerell, 1936",2,"points"
"Afrostelis otavica Cockerell, 1937",1,"points"
"Afrostelis tegularis Cockerell, 1931",4,"points"
"Agapanthinus callophilus (Cockerell, 1923)",6,"points"
"Agapostemon aenigma Roberts, 1972",1,"points"
"Agapostemon alayoi Roberts, 1972",5,"points"
"Agapostemon angelicus Cockerell, 1924",22614,"points"
"Agapostemon ascius Roberts, 1972",2,"points"
"Agapostemon atrocaeruleus Friese, 1917",242,"points"
"Agapostemon boliviensis Roberts, 1972",9,"points"
"Agapostemon centratus (Vachal, 1903)",2,"points"
"Agapostemon chapadensis Cockerell, 1900",21,"points"
"Agapostemon coloradinus (Vachal, 1903)",215,"points"
"Agapostemon columbi Roberts, 1972",108,"points"
"Agapostemon cyaneus Roberts, 1972",4,"points"
"Agapostemon erebus Roberts, 1972",2,"points"
"Agapostemon femoralis (Guérin-Méneville, 1845)",15,"points"
"Agapostemon femoratus Crawford, 1901",3303,"points"
"Agapostemon heterurus Cockerell, 1917",24,"points"
"Agapostemon insularis Roberts, 1972",9,"points"
"Agapostemon intermedius Roberts, 1972",63,"points"
"Agapostemon jamaicensis Roberts, 1972",2,"points"
"Agapostemon kohliellus (Vachal, 1903)",4,"points"
"Agapostemon lanosus Roberts, 1972",1,"points"
"Agapostemon leunculus (Vachal, 1903)",554,"points"
"Agapostemon melliventris Cresson, 1874",5847,"points"
"Agapostemon mexicanus Roberts, 1972",17,"points"
"Agapostemon mourei Roberts, 1972",69,"points"
"Agapostemon nasutus Smith, 1853",4335,"points"
"Agapostemon obliquus (Provancher, 1888)",1898,"points"
"Agapostemon ochromops Roberts, 1972",53,"points"
"Agapostemon peninsularis Roberts, 1972",66,"points"
"Agapostemon poeyi (Lucas, 1857)",117,"points"
"Agapostemon rhopalocera Smith, 1853",8,"points"
"Agapostemon robertsi Sheffield, Vilhelmsen and Bakker, 2021",1,"points"
"Agapostemon sapphirinus Roberts, 1972",37,"points"
"Agapostemon semimelleus Cockerell, 1900",1109,"points"
"Agapostemon sericeus (Forster, 1771)",4041,"points"
"Agapostemon splendens (Lepeletier, 1841)",16787,"points"
"Agapostemon swainsonae Cockerell, 1910",12,"points"
"Agapostemon texanus Cresson, 1872",14863,"points"
"Agapostemon tyleri Cockerell, 1917",910,"points"
"Agapostemon viequesensis Cockerell, 1918",41,"points"
"Agapostemon virescens (Fabricius, 1775)",25526,"points"
"Agapostemonoides hurdi Roberts and Brooks, 1987",38,"points"
"Agapostemonoides weyrauchi Gonçalves and Melo, 2006",4,"points"
"Aglae caerulea Lepeletier and Audinet-Serville, 1825",55,"points"
"Aglaoapis alata (Michener, 1996)",2,"points"
"Aglaoapis brevipennis Cameron, 1901",1,"points"
"Aglaoapis tridentata (Nylander, 1848)",433,"points"
"Aglaomelissa duckei (Friese, 1906)",3,"points"
"Alepidosceles clavitarsis Roig-Alsina, 1998",15,"points"
"Alepidosceles filitarsis (Vachal, 1904)",1137,"points"
"Alepidosceles hamata Moure, 1947",14,"points"
"Alepidosceles imitatrix (Schrottky, 1909)",25,"points"
"Alepidosceles lucidula Roig-Alsina, 1998",108,"points"
"Alepidosceles mamillata Roig-Alsina, 1998",49,"points"
"Allanthidium rudolphi (Ruiz, 1938)",164,"points"
"Allodape armatipes Friese, 1924",16,"points"
"Allodape australissima Michener, 1975",35,"points"
"Allodape brachycephala Michener, 1971",3,"points"
"Allodape ceratinoides Gribodo, 1884",403,"points"
"Allodape chapini Cockerell, 1932",9,"points"
"Allodape collaris Vachal, 1903",27,"points"
"Allodape dapa Strand, 1912",3,"points"
"Allodape exoloma Strand, 1915",407,"points"
"Allodape friesei Strand, 1915",97,"points"
"Allodape greatheadi Michener, 1970",1,"points"
"Allodape interrupta Vachal, 1903",128,"points"
"Allodape laeviceps Strand, 1912",6,"points"
"Allodape macula Strand, 1912",6,"points"
"Allodape mea Strand, 1912",7,"points"
"Allodape microsticta Cockerell, 1934",73,"points"
"Allodape mirabilis Schulz, 1906",4,"points"
"Allodape mucronata Smith, 1854",131,"points"
"Allodape nula Strand, 1912",3,"points"
"Allodape obscuripennis Strand, 1915",12,"points"
"Allodape panurgoides Smith, 1854",140,"points"
"Allodape pernix (Bingham, 1903)",243,"points"
"Allodape pictifrons Smith, 1854",92,"points"
"Allodape punctata (Lepeletier and Audinet-Serville, 1828)",114,"points"
"Allodape quadrilineata Cameron, 1905",43,"points"
"Allodape rufogastra Lepeletier and Audinet-Serville, 1825",165,"points"
"Allodape skaifeorum Michener, 1975",92,"points"
"Allodape stellarum Cockerell, 1916",324,"points"
"Allodape tridentipes Cockerell, 1933",69,"points"
"Allodapula acutigera Cockerell, 1936",216,"points"
"Allodapula brunnescens (Cockerell, 1934)",2,"points"
"Allodapula dichroa (Strand, 1915)",532,"points"
"Allodapula empeyi Michener, 1975",28,"points"
"Allodapula guillarmodi Michener, 1970",1,"points"
"Allodapula hessei Michener, 1971",18,"points"
"Allodapula jucunda (Smith, 1879)",20,"points"
"Allodapula maculithorax Michener, 1971",19,"points"
"Allodapula melanopus (Cameron, 1905)",606,"points"
"Allodapula monticola (Cockerell, 1933)",32,"points"
"Allodapula ornaticeps Michener, 1971",4,"points"
"Allodapula palliceps (Friese, 1924)",2,"points"
"Allodapula rozeni Michener, 1971",9,"points"
"Allodapula variegata (Smith, 1854)",645,"points"
"Allodapula xerica Michener, 1971",23,"points"
"Allodioxys limbifera (Pérez, 1895)",3,"points"
"Allodioxys schulthessi (Popov, 1936)",1,"points"
"Alloscirtetica ameghinoi (Brèthes, 1910)",28,"points"
"Alloscirtetica antarctica (Holmberg, 1903)",20,"points"
