"scientificName","dataFrom","continent","n"
"Aethammobates prionogaster Baker, 1994","points","Africa",1
"Afranthidium abdominale (Friese, 1904)","points","Africa",49
"Afranthidium ablusum (Cockerell, 1932)","points","Africa",17
"Afranthidium angulatum (Pasteels, 1984)","points","Africa",1
"Afranthidium biangulatum Pasteels, 1984","points","Africa",20
"Afranthidium bispinosum Pasteels, 1984","points","Africa",2
"Afranthidium capicola (Brauns, 1905)","points","Africa",78
"Afranthidium concolor (Friese, 1913)","points","Africa",47
"Afranthidium folliculosum (Buysson, 1897)","points","Africa",29
"Afranthidium hamaticauda Pasteels, 1984","points","Africa",64
"Afranthidium herbsti (Pasteels, 1984)","points","Africa",10
"Afranthidium hoplogastrum (Mavromoustakis, 1934)","points","Africa",9
"Afranthidium hypocapicola (Mavromoustakis, 1936)","points","Africa",7
"Afranthidium karrooense (Brauns, 1905)","points","Africa",3
"Afranthidium malacopygum (Gribodo, 1894)","points","Africa",2
"Afranthidium melanopoda (Pasteels, 1984)","points","Africa",1
"Afranthidium murinum (Pasteels, 1984)","points","Africa",2
"Afranthidium odonturum (Cockerell, 1932)","points","Africa",2
"Afranthidium poecilodontum (Mavromoustakis, 1934)","points","Africa",13
"Afranthidium polyacanthum (Mavromoustakis, 1938)","points","Africa",8
"Afranthidium reicherti (Brauns, 1929)","points","Africa",74
"Afranthidium rubellulum (Cockerell, 1932)","points","Africa",50
"Afranthidium tergoangulatum Pasteels, 1984","points","Africa",10
"Afrodasypoda plumipes (Friese, 1912)","points","Africa",19
"Afroheriades dolichocephala (Friese, 1925)","points","Africa",22
"Afroheriades gemina (Peters, 1978)","points","Africa",13
"Afroheriades prima (Peters, 1970)","points","Africa",38
"Afromelecta fulvohirta (Cameron, 1905)","points","Africa",11
"Afronomia circumnitens (Cockerell, 1946)","points","Africa",6
"Afronomia fimbriata (Vachal, 1897)","points","Africa",13
"Afronomia pallidibasis (Cockerell, 1936)","points","Africa",2
"Afronomia sjoestedti (Friese, 1909)","points","Africa",5
"Afronomia speciosana (Strand, 1913)","points","Africa",68
"Afrostelis aethiopica (Friese, 1925)","points","Africa",26
"Afrostelis ogilviei Cockerell, 1936","points","Africa",2
"Afrostelis tegularis Cockerell, 1931","points","Africa",4
"Agapostemon angelicus Cockerell, 1924","points","Africa",21
"Agapostemon femoratus Crawford, 1901","points","Africa",4
"Agapostemon obliquus (Provancher, 1888)","points","Africa",1
"Agapostemon sericeus (Forster, 1771)","points","Africa",242
"Agapostemon splendens (Lepeletier, 1841)","points","Africa",162
"Agapostemon texanus Cresson, 1872","points","Africa",145
"Agapostemon virescens (Fabricius, 1775)","points","Africa",511
"Allodape armatipes Friese, 1924","points","Africa",4
"Allodape australissima Michener, 1975","points","Africa",21
"Allodape ceratinoides Gribodo, 1884","points","Africa",115
"Allodape chapini Cockerell, 1932","points","Africa",2
"Allodape collaris Vachal, 1903","points","Africa",1
