"name","n","observedRichness","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iChao_est","iChao_lower","iChao_upper","iChao_increasePercent","level","iNEXT_increase","iChao_increase"
"Africa",258744,4995,6334,6168,6501,21.14,6631,6500,6774,24.67,"Continental",1339,1636
"Asia",202609,6214,8137,7904,8371,23.64,8558,8395,8733,27.39,"Continental",1923,2344
"Europe",3470411,2552,3172,3072,3271,19.54,3290,3188,3408,22.43,"Continental",620,738
"North America",2772502,5579,6400,6251,6549,12.83,6569,6456,6696,15.07,"Continental",821,990
"Oceania",273130,2205,2703,2603,2803,18.43,2789,2699,2896,20.94,"Continental",498,584
"South America",404194,4395,5521,5382,5660,20.39,5751,5616,5900,23.57,"Continental",1126,1356
"Afghanistan",1685,308,480,416.4729734942573,544.3479045396772,35.89,514,459,589,40.08,"Country",172,206
"Albania",2288,249,380,322.0244534994455,437.22242635680936,34.41,412,371,467,39.52,"Country",131,163
"Algeria",7586,863,1206,1130.4774055979915,1281.4321646630156,28.44,1278,1211,1358,32.47,"Country",343,415
"Andorra",146,56,67,50.47433565821348,83.59567956248668,16.46,69,64,78,18.72,"Country",11,13
"Angola",1666,190,348,282.9668668078227,412.2188324718891,45.34,371,311,462,48.82,"Country",158,181
"Anguilla",75,24,60,0,123.05230145820912,59.68,60,33,169,60.33,"Country",36,36
"Argentina",65558,1292,1662,1582.425107112285,1741.9587604356825,22.27,1737,1661,1828,25.62,"Country",370,445
"Armenia",3046,538,815,733.2042825762312,897.4935506476688,34.02,877,812,957,38.65,"Country",277,339
"Australia",245486,1764,2027,1958.6711856521397,2094.678398438196,12.96,2075,2019,2144,15,"Country",263,311
"Austria",42731,760,918,853.9768556658531,982.9171365903212,17.25,954,912,1009,20.37,"Country",158,194
"Azerbaijan",1502,584,869,790.7354583320698,947.497542827674,32.81,939,888,999,37.81,"Country",285,355
"Bahamas",467,47,64,40.201139393687775,87.52648373265055,26.41,67,55,95,29.8,"Country",17,20
"Bangladesh",141,27,45,9.250494870131476,80.49418598093236,39.83,49,36,80,44.75,"Country",18,22
"Belarus",4275,338,426,387.620236480223,464.43380974645487,20.66,444,415,485,23.92,"Country",88,106
"Belgium",429537,443,472,448.9148184355805,494.8850470009244,6.12,479,466,499,7.45,"Country",29,36
"Belize",2688,165,234,186.79276496618832,282.0444539491556,29.61,243,211,297,32.09,"Country",69,78
"Benin",273,47,526,120.23389224731557,931.245961232538,91.06,548,144,2622,91.42,"Country",479,501
"Bermuda",45,7,17,6.191889623038913,27.363665932516646,58.28,17,9,58,58.28,"Country",10,10
"Bhutan",404,60,108,0,233.65082619021192,44.38,115,84,182,47.62,"Country",48,55
"Bolivia",17316,699,998,914.8348063252658,1081.2844964094215,29.96,1046,972,1140,33.19,"Country",299,347
