name_long,mean_roadDist,median_roadDist
Chile,25367.4358202621,6207.13451248219
Argentina,5922.48990178537,4236.80295191182
Australia,13706.8333604128,5992.04024243186
New Zealand,5564.49268693767,2302.23364991897
Falkland Islands / Malvinas,7789.60801513276,6815.08354737046
French Southern and Antarctic Lands,78207.5179587828,60058.733066853
South Africa,2089.60239455093,1276.33756263708
Uruguay,4497.23964886861,3665.11481826349
Brazil,52909.6869719847,11460.1897767384
Lesotho,7905.81395385479,5846.62308622246
Namibia,11175.9113853783,7182.239196827
Paraguay,8317.71120022998,5705.10218535647
Eswatini,3987.93737552024,3013.8237894136
Botswana,19015.7816717233,11734.8902447728
Mozambique,6398.37696394783,4787.8540778803
Madagascar,3681.06910852518,2562.1238449916
Bolivia,10838.3233819448,7502.30077823926
New Caledonia,6715.1307675403,2818.24629785106
Zimbabwe,4130.04751114045,3227.51322466219
Tonga,1475.15643742349,1452.63891557054
France,5283.23535763979,2744.25386668231
Cook Islands,851.141780725502,851.141780725502
French Polynesia,378433.171078634,124910.746720093
Mauritius,1122.33446407062,755.43632599174
Vanuatu,15403.1434419268,4221.59443473609
Niue,1432.48830085734,1432.48830085734
Fiji,8706.1093664815,3375.02432937377
Peru,34784.4259307879,14526.5614111399
Zambia,9534.26423899649,6662.30123399217
Angola,9044.64630660651,6262.29478226532
Malawi,6629.85231632062,4509.62048631388
Saint Helena,340.928478328676,340.928478328676
Wallis and Futuna Islands,233421.087233074,233421.087233074
Samoa,3562.01874817419,2802.64664726582
Democratic Republic of the Congo,6414.70418609446,4258.53956634133
Comoros,2024.66133092635,1188.55973679258
Solomon Islands,54282.2044367625,11900.1331306049
Tanzania,8389.53760278585,4910.74610707901
Papua New Guinea,36299.3149694466,26849.8417937728
Kiribati,262760.011424285,220827.158037169
Indonesia,22787.3227213065,8979.83325012111
Indian Ocean Territories,867.862927467766,867.862927467766
Timor-Leste,3887.16501378158,3131.05091161561
Ecuador,16837.6714624132,8662.51373125857
Republic of the Congo,15760.8238107416,8877.02212122407
Seychelles,2107.90670690245,2234.79341232692
Kenya,8636.55943964369,5072.55455274581
Burundi,1375.44072913742,541.097717226298
Colombia,35495.7572123247,12309.637868293
Gabon,11246.1964391244,7356.60520787156
Rwanda,4301.97405725728,3586.25582571047
Somalia,2123.79224604023,1217.17868948196
Uganda,9287.70238410533,4330.66391829926
São Tomé and Principe,2015.84592774529,1670.65640810088
Venezuela,48179.0653822231,10504.1852500107
Malaysia,18069.3893754891,10191.3286950388
Equatorial Guinea,3209.99278040685,2354.407744056
Guyana,28758.0571252072,19822.1845736147
Singapore,1481.23707223126,1359.07730526964
Cameroon,6656.82894769195,4307.5003596067
Suriname,46517.3660275277,42562.36777907
Central African Republic,13483.7281972479,7895.40454373299
Ethiopia,7023.64026917482,4782.56076449684
South Sudan,7748.74599768229,4762.8712538106
Brunei Darussalam,6474.47929610264,4969.26855012429
Liberia,2446.80651857082,1282.07701428613
Nigeria,4201.39663588041,2762.3444187596
Côte d'Ivoire,4613.91335617947,2964.34571046843
Ghana,4292.18827734183,3293.40732944336
Philippines,5317.79489015985,3401.16785873324
Thailand,5930.62448735581,3822.02356880891
Sri Lanka,2293.37737508904,1541.15437491292
Togo,4205.10749551666,3214.15346970568
Benin,5797.54299572508,4299.83676914233
India,3958.14322264215,2854.48985180318
Federated States of Micronesia,874534.427923664,1306387.68172598
Sierra Leone,1058.83402319857,676.05627600783
Panama,9689.41248554892,4302.61238726991
Guinea,1384.94910403198,788.685032177232
Palau,6227.24749750234,5262.95930116082
Chad,25429.7463288417,10386.6312012162
Somaliland,2880.53494119426,2039.77703910805
Costa Rica,3655.32889075348,1487.2968320743
Vietnam,4199.74685386635,3016.31065291098
Sudan,11420.9922235048,5928.16042333146
Burkina Faso,4763.69650617909,3643.35812551925
Myanmar,5219.39478869354,3544.44011828705
Trinidad and Tobago,3525.0337776379,2834.82675787889
Mali,40263.2543039387,13153.1661151356
Cambodia,6054.58013417605,4392.8558682951
Nicaragua,5767.10693256227,2302.08669441414
Guinea-Bissau,1429.43017929459,770.547505043738
Djibouti,1656.27745715657,1240.32567819752
