"Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Antarctica","Antigua and Barbuda","Argentina"
2.8877755511022043,0,0,0,0,0,0,0,0,0
2.8877755511022043,3.831663326653307,0,0,2.8877755511022043,0,1.9438877755511021,0,0,0
2.8877755511022043,0,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
1,1.9438877755511021,1,0,0,0,0,0,0,0
17.98997995991984,0,6.663326653306614,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
7,11.382765531062125,12.326653306613228,0,0,0,0,0,0,0
1.9438877755511021,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
1,9.49498997995992,18.933867735470944,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
5.719438877755511,0,0,0,0,0,0,0,0,0
1,1.9438877755511021,1,0,2,0,0,0,0,0
1.9438877755511021,0,16.102204408817634,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
1,3.831663326653307,43.474949899799604,0,0,0,0,0,0,0
25.54108216432866,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3.831663326653307,7.6072144288577155,1,0,2,0,0,0,0,0
1.9438877755511021,0,1,0,0,0,0,0,0,0
34.03607214428858,0,0,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
23.653306613226455,1,1,0,0,0,0,0,0,0
1,11.382765531062125,5.719438877755511,0,0,0,0,0,0,0
32.14829659318637,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
1,4,2,0,0,0,3.831663326653307,0,0,0
5.719438877755511,0,0,0,0,0,0,0,0,0
30.26052104208417,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
34.03607214428858,0,0,0,0,0,0,0,0,0
6.663326653306614,0,0,0,0,0,0,0,0,0
11.382765531062125,0,31.204408817635272,0,0,0,0,0,0,0
8.551102204408817,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
7.6072144288577155,0,0,0,0,0,0,0,0,0
5.719438877755511,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
8.551102204408817,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0
30.26052104208417,0,0,0,0,0,0,0,0,0
24.597194388777556,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,32,0,2,0,0,2,0,385
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
37.811623246492985,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
5.719438877755511,0,0,0,0,0,0,0,0,0
1,0,16.102204408817634,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0
2,0,53.857715430861724,0,0,0,0,0,0,0
1,0,62.35270541082165,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
24.597194388777556,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
16.102204408817634,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
2.8877755511022043,1,0,0,0,0,0,0,0,0
1,45.362725450901806,1,0,0,0,0,0,0,0
14.214428857715431,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1.9438877755511021,0,1,0,0,0,0,0,0,0
2.8877755511022043,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
13.27054108216433,0,0,0,0,0,0,0,0,0
17.04609218436874,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
1,0,6.663326653306614,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
3,0,20.82164328657315,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
15.158316633266534,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12.326653306613228,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
8.551102204408817,1.9438877755511021,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
6.663326653306614,0,0,0,0,0,0,0,0,0
9.49498997995992,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
3.831663326653307,0,6.663326653306614,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
4.775551102204409,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
15.158316633266534,0,0,0,0,0,0,0,0,0
8.551102204408817,0,0,0,0,0,0,0,0,0
7.6072144288577155,0,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
23.653306613226455,0,5.719438877755511,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
5.719438877755511,0,0,0,0,0,0,0,0,0
28.372745490981966,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
8.551102204408817,1,5.719438877755511,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3.831663326653307,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2.8877755511022043,0,0,0,0,0,0,0,0,0
1,0,8.551102204408817,0,0,0,0,0,0,0
8.551102204408817,0,0,0,0,0,0,0,0,0
31.204408817635272,0,0,0,0,0,0,0,0,0
1.9438877755511021,0,0,0,0,0,0,0,0,0
39.699398797595194,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
20.82164328657315,0,0,0,0,0,0,0,0,0
1,1.9438877755511021,2.8877755511022043,0,0,0,0,0,0,0
1,0,2.8877755511022043,0,0,0,0,0,0,0
2,1.9438877755511021,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
