"","scientificName","n","doiORurl","publicationYear"
"1","Maynenomia poonaensis Pauly, 2009",NA,NA,NA
"2","Lasioglossum circularum Fan and Ebmer, 1992",NA,NA,NA
"3","Lasioglossum phoebos Ebmer, 1978",NA,NA,NA
"4","Nomada ressli Schwarz and Smit, 2018",NA,NA,NA
"5","Megachile povolnyi (Tkalců, 1969)",NA,NA,NA
"6","Colletes himalayensis Kuhlmann, 2002",NA,NA,NA
"7","Tapinotaspis latitarsis (Friese, 1899)",NA,NA,NA
"8","Samba turkana Packer, 2015",NA,NA,NA
"9","Hylaeus birmanicus Dathe, 2011",NA,NA,NA
"10","Protandrena adjuncta (Timberlake, 1975)",NA,NA,NA
"11","Sphecodes manskii (Rayment, 1935)",NA,NA,NA
"12","Ceratina wagneri Friese, 1910",NA,NA,NA
"13","Austronomia tapiniensis Pauly, 2009",NA,NA,NA
"14","Melitta fulvescenta Wu, 2000",NA,NA,NA
"15","Halictus argilos Ebmer, 2005",NA,NA,NA
"16","Anthrenoides lavrensis Urban, 2007",NA,NA,NA
"17","Lasioglossum depokense (Blüthgen, 1928)",NA,NA,NA
"18","Palaeorhiza purpureoventris Hirashima, 1975",NA,NA,NA
"19","Halictus kuschkensis Ebmer, 1975",NA,NA,NA
"20","Lasioglossum fulviventre (Friese, 1924)",NA,NA,NA
"21","Lipotriches generanii Pauly, 2014",NA,NA,NA
"22","Coelioxys elatus Holmberg, 1916",NA,NA,NA
"23","Heriades filicornis Friese, 1915",NA,NA,NA
"24","Andrena popovi Osytshnjuk, 1985",NA,NA,NA
"25","Lasioglossum lieftincki (Michener, 1980)",NA,NA,NA
"26","Centris sertanicola Vivallo, 2022",NA,NA,NA
"27","Hylaeus guptai Saini and Chandra, 2021",NA,NA,NA
"28","Colletes diodontus Benoist, 1958",NA,NA,NA
"29","Megachile nigrofulva Hedicke, 1940",NA,NA,NA
"30","Megachile corduvensis Schrottky, 1909",NA,NA,NA
"31","Colletes montefragus Raw, 1984",NA,NA,NA
"32","Chilicola venticola Packer, 2004",NA,NA,NA
"33","Anthidium flavotarsum Wu, 1982",NA,NA,NA
"34","Lasioglossum ocellare (Michener, 1980)",NA,NA,NA
"35","Psaenythia tucumana Holmberg, 1921",NA,NA,NA
"36","Megachile albispinis Vachal, 1908",NA,NA,NA
"37","Sphegocephala castaneiceps (Benoist, 1964)",NA,NA,NA
"38","Paratetrapedia savanicola (Aguiar, 2009)",NA,NA,NA
"39","Eucera mavromoustakisi (Tkalců, 1984)",NA,NA,NA
"40","Perdita stabilis Timberlake, 1968",NA,NA,NA
"41","Coelioxys calabarensis Pasteels, 1968",NA,NA,NA
"42","Lasioglossum meruraptor Pauly, 2019",NA,NA,NA
