"","scientificName","n","doiORurl","publicationYear"
"1","Larinostelis scapulata Michener and Griswold, 1994",NA,NA,NA
"2","Sphecodes manchurianus Strand and Yasumatsu, 1938",NA,NA,NA
"3","Megachile goegabensis Eardley, 2013",NA,NA,NA
"4","Andrena chirisana Tadauchi, 1992",NA,NA,NA
"5","Exomalopsis neglecta Buysson, 1892",NA,NA,NA
"6","Lipotriches karibibensis Pauly, 2014",NA,NA,NA
"7","Anthophora albotibialis Wu, 2000",NA,NA,NA
"8","Lasioglossum sutshanicum Pesenko, 1986",NA,NA,NA
"9","Hylaeus momunganicus (Hedicke, 1926)",NA,NA,NA
"10","Palaeorhiza excavata Hirashima and Abe, 1996",NA,NA,NA
"11","Paratetrapedia amazonensis (Aguiar and Melo, 2015)",NA,NA,NA
"12","Andrena orizabibia Strand, 1919",NA,NA,NA
"13","Lasioglossum salwinicum (Blüthgen, 1928)",NA,NA,NA
"14","Megachile hei Wu, 2005",NA,NA,NA
"15","Nomada umbrosa Schmiedeknecht, 1882",NA,NA,NA
"16","Andrena efeana Scheuchl and Hazir, 2012",NA,NA,NA
"17","Hylaeus cockerelli (Schrottky, 1906)",NA,NA,NA
"18","Bombus validus Friese, 1905",NA,NA,NA
"19","Thrinchostoma brunneum Blüthgen, 1926",NA,NA,NA
"20","Megachile reepeni Friese, 1918",NA,NA,NA
"21","Lasioglossum imbriumbrae Gardner and Gibbs, 2020",NA,NA,NA
"22","Pseudagapostemon jujuyensis Cure, 1989",NA,NA,NA
"23","Andrena banchan Xu and Tadauchi, 2009",NA,NA,NA
"24","Centris aymara Vivallo, 2020",NA,NA,NA
"25","Osmia picena (Tkalců, 1999)",NA,NA,NA
"26","Heriades ellenbergeri Benoist, 1931",NA,NA,NA
"27","Perdita cochiseana Timberlake, 1971",NA,NA,NA
"28","Corynura callaina González-Vaquero and Roig-Alsina, 2017",NA,NA,NA
"29","Perditomorpha friesei (Jörgensen, 1912)",NA,NA,NA
"30","Patellapis flavofasciata (Friese, 1915)",NA,NA,NA
"31","Lasioglossum speculum (Benoist, 1964)",NA,NA,NA
"32","Hoplitis fascicularia (Radoszkowski, 1886)",NA,NA,NA
"33","Chiasmognathus rhagae Engel, 2008",NA,NA,NA
