"","scientificName","n","doiORurl","publicationYear"
"1","Macronomia katonana (Strand, 1913)",NA,NA,NA
"2","Noteriades spinosa Griswold and Gonzalez, 2011",NA,NA,NA
"3","Augochlora mourei Michener, 1954",NA,NA,NA
"4","Hypanthidium costaricense (Friese, 1917)",NA,NA,NA
"5","Andrena paradisaea Warncke, 1975",NA,NA,NA
"6","Lasioglossum xitle Engel, Hinojosa-Díaz and Bennett, 2012",NA,NA,NA
"7","Lasioglossum gedehense (Friese, 1914)",NA,NA,NA
"8","Xylocopa punctigena Maa, 1938",NA,NA,NA
"9","Paracorynurella difficillima (Ducke, 1906)",NA,NA,NA
"10","Lasioglossum mergense (Blüthgen, 1925)",NA,NA,NA
"11","Perditomorpha ferruginea (Moure, 1954)",NA,NA,NA
"12","Brachyglossula schlumpbergeri Compagnucci and Roig-Alsina, 2012",NA,NA,NA
"13","Megachile sladeni Friese, 1903",NA,NA,NA
"14","Halictus vansoni Cockerell, 1935",NA,NA,NA
"15","Andrena persica Wood, 2021",NA,NA,NA
"16","Geodiscelis antiminera Ferrari, 2015",NA,NA,NA
"17","Palaeorhiza malachisis (Smith, 1859)",NA,NA,NA
"18","Psaenythia gerstaeckeri Friese, 1908",NA,NA,NA
"19","Lasioglossum congoense (Friese, 1921)",NA,NA,NA
"20","Euryglossa aulaca (Hogendoorn and Leijs, 2015)",NA,NA,NA
"21","Mourecotelles subandinus (Toro and Cabezas, 1978)",NA,NA,NA
"22","Osmia brevipes van der Zanden, 1994",NA,NA,NA
"23","Anthidium calchaqui Gonzalez and Griswold, 2013",NA,NA,NA
"24","Ceylalictus sylvestris Pesenko and Pauly, 2001",NA,NA,NA
"25","Maynenomia lonavlaensis Pauly, 2009",NA,NA,NA
"26","Austronomia parcana (Strand, 1913)",NA,NA,NA
"27","Hoplitis tenuicornis (Morawitz, 1875)",NA,NA,NA
"28","Ceratina egeria Nurse, 1904",NA,NA,NA
"29","Augochlora_sensu_lato laneifrons (Vachal, 1911)",NA,NA,NA
"30","Lasioglossum atasus (Blüthgen, 1928)",NA,NA,NA
"31","Megachile dalmeidai Moure, 1944",NA,NA,NA
"32","Megachile vandeveldii (Meunier, 1888)",NA,NA,NA
"33","Andrena shteinbergi Osytshnjuk, 1993",NA,NA,NA
"34","Andrena cyrenaica Kratochwil, 2015",NA,NA,NA
"35","Flavomeliturgula berangeriae Patiny, 2002",NA,NA,NA
"36","Megachile varipes Vachal, 1908",NA,NA,NA
"37","Liphanthus longicornis Tapia and Ruz, 2003",NA,NA,NA
"38","Andrena maximiliani Scheuchl, 2009",NA,NA,NA
"39","Metadioxys bluethgeni (Popov, 1936)",NA,NA,NA
"40","Andrena kunmingica Xu and Tadauchi, 2012",NA,NA,NA
"41","Hylaeus luna Chen and Xu, 2009",NA,NA,NA
"42","Andrena cephalota Xu, 1994",NA,NA,NA
"43","Lasioglossum bivarum (Vachal, 1904)",NA,NA,NA
"44","Augochlora intermedia Lepeco and Gonçalves, 2022",NA,NA,NA
"45","Lasioglossum acherontion Ebmer, 1978",NA,NA,NA
"46","Amegilla expleta (Vachal, 1910)",NA,NA,NA
"47","Coelioxys quartodecimdentatus Friese, 1935",NA,NA,NA
"48","Spinolapis nitidiventris (Compagnucci and Roig-Alsina, 2008)",NA,NA,NA
"49","Mellitidia nigricus (Hirashima, 1967)",NA,NA,NA
"50","Coelioxys holmbergi Schrottky, 1920",NA,NA,NA
"51","Augochlora igniventris (Vachal, 1911)",NA,NA,NA
"52","Hylaeus haladanius Dathe, 2015",NA,NA,NA
"53","Andrena tringoides Osytshnjuk, 1993",NA,NA,NA
"54","Lasioglossum aruwimiense (Strand, 1911)",NA,NA,NA
"55","Coelioxys scutellaris Schrottky, 1902",NA,NA,NA
"56","Amegilla tubifera (Cockerell, 1933)",NA,NA,NA
"57","Elaphropoda pulcherrima Wu, 1985",NA,NA,NA
