,scientificName,n,doiORurl,publicationYear
1,"Ceratina fimbriata Roig-Alsina, 2013",1,https://doi.org/10.22179/REVMACN.15.174 ,2013
2,"Lasioglossum leucorhinus (Cockerell, 1926)",472,https://doi.org/10.11646/zootaxa.5408.1.1,2024
3,"Andrena freidbergi Pisanty and Scheuchl, 2018",NA,NA,NA
4,"Stenoheriades bifida Griswold, 2018",NA,NA,NA
5,"Nomada nigritula Schwarz and Smit, 2018",NA,NA,NA
6,"Stelis bengala Warncke, 1992",NA,NA,NA
7,"Andrena jazleya Pohl and Larkin, 2006",NA,NA,NA
8,"Andrena banffensis Viereck, 1924",NA,NA,NA
9,"Eoanthidium flavifrontale Kasparek, 2021",NA,NA,NA
10,"Colletes stachi Noskiewicz, 1958",NA,NA,NA
11,"Colletes inspersus Niu, Zhu and Kuhlmann, 2013",NA,NA,NA
12,"Palaeorhiza trigona Hirashima and Lieftinck, 1983",NA,NA,NA
13,"Xylocopa mongolicus (Wu, 1983)",NA,NA,NA
14,"Lipotriches postcarinata Pauly, 2009",NA,NA,NA
15,"Megachile swarbrecki Rayment, 1946",NA,NA,NA
16,"Coelioxys iranicus Warncke, 1992",NA,NA,NA
17,"Andrena kotenkoi Osytshnjuk, 1994",NA,NA,NA
18,"Centris lemniscata Vivallo, 2022",NA,NA,NA
19,"Patellapis subpatricia (Strand, 1911)",NA,NA,NA
20,"Goniocolletes dasypus Maynard, 2013",NA,NA,NA
21,"Nomiocolletes arnaui Moure, 1949",NA,NA,NA
22,"Augochloropsis gemmicauda (Cockerell, 1931)",NA,NA,NA
23,"Andrena nitidicollis Morawitz, 1876",NA,NA,NA
24,"Melissoptila mirnae Urban, 1998",NA,NA,NA
25,"Augochlorella procliva Gonçalves, 2019",NA,NA,NA
26,"Anthophora selecta Priesner, 1957",NA,NA,NA
27,"Rhathymus concolor Friese, 1921",NA,NA,NA
28,"Goniocolletes ciliatus Maynard, 2013",NA,NA,NA
29,"Megachile subatrella Rayment, 1939",NA,NA,NA
30,"Andrena kathmanduensis Tadauchi and Matsumura, 2007",NA,NA,NA
31,"Megachile joseana Friese, 1917",NA,NA,NA
32,"Pseudoanthidium amoenum (Pasteels, 1969)",NA,NA,NA
