"","scientificName","n","doiORurl","publicationYear"
"1","Lasioglossum bispinosum (Blüthgen, 1926)",NA,NA,NA
"2","Psaenythia doeringi Holmberg, 1921",NA,NA,NA
"3","Xylocopa merceti Dusmet y Alonso, 1924",NA,NA,NA
"4","Megachile gribodoi Radoszkowski, 1882",NA,NA,NA
"5","Hoplitis tkalcuella Le Goff, 2003",NA,NA,NA
"6","Liphanthus centralis Mir Sharifi and Packer, 2019",NA,NA,NA
"7","Nomia tibiaplumosa (Pauly, 2000)",NA,NA,NA
"8","Tetragonula perlucipinnae Shanas and Faseeh, 2019",NA,NA,NA
"9","Augochlora intermedia Lepeco and Gonçalves, 2022",NA,NA,NA
"10","Centris aurantis Vivallo, 2022",NA,NA,NA
"11","Sphecodes fuelleborni Blüthgen, 1928",NA,NA,NA
"12","Megachile nigrofulva Hedicke, 1940",NA,NA,NA
"13","Scrapter exiguus Kuhlmann, 2014",NA,NA,NA
"14","Lasioglossum pilicorne (Friese, 1930)",NA,NA,NA
"15","Andrena tecta Radoszkowski, 1876",NA,NA,NA
"16","Megachile trapezicauda Pasteels, 1965",NA,NA,NA
"17","Lasioglossum aureimontanum Ebmer, 1970",NA,NA,NA
"18","Nomioides lahorensis Blüthgen, 1934",NA,NA,NA
"19","Chilicola nanula Packer, 2007",NA,NA,NA
"20","Eoanthidium adentatum Gupta and Simlote, 1993",NA,NA,NA
"21","Halictus wollmanni Blüthgen, 1933",NA,NA,NA
"22","Heriades rufoflagellata Gupta and Simlote, 1993",NA,NA,NA
"23","Nomada warnckei Schwarz and Smit, 2018",NA,NA,NA
"24","Andrena okabei Hirashima, 1957",NA,NA,NA
"25","Hylaeus damascenus (Magretti, 1890)",NA,NA,NA
"26","Protosmia hamulifera Griswold, 2013",NA,NA,NA
"27","Psaenythia quinquefasciata Schrottky, 1906",NA,NA,NA
"28","Lasioglossum subdeclive (Pauly, 1980)",NA,NA,NA
"29","Neocorynura veneta Gonçalves, 2019",NA,NA,NA
"30","Lasioglossum iranicum Ebmer, 1975",NA,NA,NA
"31","Halictus kuhlmanni (Pauly, 2008)",NA,NA,NA
"32","Lasioglossum rubripes (Alfken, 1932)",NA,NA,NA
"33","Coelioxys picicornis Morawitz, 1887",NA,NA,NA
"34","Coelioxys genoconcavitus Gupta, 1991",NA,NA,NA
"35","Megachile trizonata Wu, 2005",NA,NA,NA
"36","Eoanthidium punjabense Gupta and Sharma, 1993",NA,NA,NA
"37","Eupetersia macrocephala Pauly, 1981",NA,NA,NA
"38","Protandrena stigmalis (Swenk and Cockerell, 1907)",NA,NA,NA
"39","Colletes guadalajarensis Metz, 1910",NA,NA,NA
"40","Hylaeus colei Rayment, 1935",NA,NA,NA
"41","Hylaeus haladanius Dathe, 2015",NA,NA,NA
"42","Coelioxys brevicaudatus_homonym Friese, 1935",NA,NA,NA
"43","Ceratina pictifrons Smith, 1860",NA,NA,NA
"44","Leioproctus eruditus Maynard, 2013",NA,NA,NA
"45","Andrena subruficrus Xu and Tadauchi, 2012",NA,NA,NA
"46","Nomada cruralis Moure, 1960",NA,NA,NA
"47","Sphecodes pseudocrassus Blüthgen, 1925",NA,NA,NA
"48","Chilicola huarpe Packer and Dumesh, 2019",NA,NA,NA
"49","Hoplitis excisa (Morawitz, 1880)",NA,NA,NA
"50","Nomia kinduna Strand, 1921",NA,NA,NA
"51","Hoplitis alatauensis (Tkalců, 1992)",NA,NA,NA
"52","Lipotriches smaragdula (Pauly, 1984)",NA,NA,NA
"53","Nomia tchuenguemi (Pauly and Soukontoua, 2016)",NA,NA,NA
"54","Centris sacsayhuaman Vivallo, 2020",NA,NA,NA
"55","Trachusa pingdaensis Niu, 2019",NA,NA,NA
"56","Ceylalictus hainanicus Pesenko and Wu, 1991",NA,NA,NA
"57","Hypanthidioides ferrugineum (Urban, 1993)",NA,NA,NA
"58","Lasioglossum hoedillum (Vachal, 1903)",NA,NA,NA
"59","Andrena carbointegra Xu and Tadauchi, 2012",NA,NA,NA
"60","Ceratina laeviuscula Wu, 1963",NA,NA,NA
"61","Liphanthus discolor Mir Sharifi and Packer, 2019",NA,NA,NA
"62","Anthidiellum boreale_homonym Wu, 2004",NA,NA,NA
"63","Andrena kamtschatkaensis Friese, 1914",NA,NA,NA
"64","Corynurella nigra Gonçalves, 2010",NA,NA,NA
"65","Ceratina tibialis Morawitz, 1894",NA,NA,NA
"66","Lasioglossum aurigerum (Krombein, 1950)",NA,NA,NA
"67","Schmiedeknechtia walteri Schwarz, 1993",NA,NA,NA
"68","Megalopta notiocleptis Engel, 2011",NA,NA,NA
"69","Melissoptila bahiana Urban, 1998",NA,NA,NA
"70","Chilicola gutierrezi Moure, 1947",NA,NA,NA
"71","Leurotrigona crispula Pedro and Camargo, 2009",NA,NA,NA
"72","Caenohalictus gaullei (Vachal, 1903)",NA,NA,NA
"73","Eucera maxima Tkalců, 1987",NA,NA,NA
"74","Megachile pauliani Benoist, 1950",NA,NA,NA
"75","Trachusa baluchistanica (Mavromoustakis, 1939)",NA,NA,NA
"76","Exoneura marjoriella Rayment, 1949",NA,NA,NA
"77","Megachile plumata Wu, 2005",NA,NA,NA
"78","Lasioglossum angaricum (Cockerell, 1937)",NA,NA,NA
"79","Ashmeadiella mandibularis Ayala, Griswold and Vergara, 2015",NA,NA,NA
"80","Lasioglossum pavo Sakagami, 1989",NA,NA,NA
"81","Lipotriches cassiae Pauly, 2014",NA,NA,NA
"82","Ceratina stuckenbergi Eardley and Daly, 2007",NA,NA,NA
"83","Chlerogas araguaensis Brooks and Engel, 1999",NA,NA,NA
"84","Coelioxys occidentalis Holmberg, 1916",NA,NA,NA
"85","Megachile caroli Meade-Waldo, 1912",NA,NA,NA
"86","Lasioglossum suisharyonense (Strand, 1914)",NA,NA,NA
"87","Andrena nova Popov, 1940",NA,NA,NA
"88","Diadasina tarijensis (Brèthes, 1910)",NA,NA,NA
"89","Lasioglossum amitinum (Vachal, 1895)",NA,NA,NA
"90","Austronomia gressitti Pauly, 2009",NA,NA,NA
"91","Hylaeus funereus (Warncke, 1992)",NA,NA,NA
"92","Nomada flavoscutellata Schwarz and Smit, 2018",NA,NA,NA
"93","Nomioides bactriensis Pesenko, 2004",NA,NA,NA
"94","Hylaeus luna Chen and Xu, 2009",NA,NA,NA
"95","Chilicola unicarinata Packer, 2007",NA,NA,NA
"96","Patellapis bedana (Blüthgen, 1926)",NA,NA,NA
"97","Andrena ferghanica Morawitz, 1876",NA,NA,NA
"98","Hylaeus mamo Magnacca, 2013",NA,NA,NA
"99","Xylocopa punctigena Maa, 1938",NA,NA,NA
"100","Melissoptila paranaensis Urban, 1998",NA,NA,NA
