"","scientificName","n","doiORurl","publicationYear"
"1","Ammobates dusmeti Popov, 1951",NA,NA,NA
"2","Hoplitis quettensis Tkalců, 2000",NA,NA,NA
"3","Coelioxys castaneus Morawitz, 1886",NA,NA,NA
"4","Anthophora tedshenensis Radoszkowski, 1893",NA,NA,NA
"5","Lasioglossum adriani Genaro, 2001",NA,NA,NA
"6","Nomioides abudhabiensis Pesenko and Pauly, 2009",NA,NA,NA
"7","Nomioides socotranus Blüthgen, 1925",NA,NA,NA
"8","Austronomia petterssoni Pauly, 1991",NA,NA,NA
"9","Leioproctus chalybaeus (Friese, 1909)",NA,NA,NA
"10","Ceratina atra Friese, 1917",NA,NA,NA
"11","Nomada pyrgosica Schwarz and Smit, 2018",NA,NA,NA
"12","Systropha martiali Patiny and Michez, 2007",NA,NA,NA
"13","Hoplitis sinuata (Pérez, 1895)",NA,NA,NA
"14","Austronomia inamoena (Benoist, 1950)",NA,NA,NA
"15","Anthophora bogutensis (Marikovskaya, 1976)",NA,NA,NA
"16","Colletes pseudomirabilis Kuhlmann and Proshchalykin, 2014",NA,NA,NA
"17","Megachile atahualpa Schrottky, 1913",NA,NA,NA
"18","Hypanthidioides nigripes_homonym (Urban, 1996)",NA,NA,NA
"19","Hylaeus nigricollis Morawitz, 1876",NA,NA,NA
"20","Augochlorodes clementis Gonçalves and Melo, 2008",NA,NA,NA
"21","Austronomia browni Pauly, 2009",NA,NA,NA
"22","Anthidium politum Morawitz, 1894",NA,NA,NA
"23","Lasioglossum insigne (Meyer, 1920)",NA,NA,NA
"24","Eucera odontophora Kohl, 1906",NA,NA,NA
"25","Lasioglossum papuarum (Cockerell, 1910)",NA,NA,NA
"26","Megachile futilis Mitchell, 1930",NA,NA,NA
"27","Megachile gambiensis Cockerell, 1937",NA,NA,NA
"28","Lasioglossum luridipes (Vachal, 1892)",NA,NA,NA
"29","Lasioglossum gorgasi (Cockerell, 1928)",NA,NA,NA
"30","Colletes lucasi Pérez, 1895",NA,NA,NA
"31","Augochlora ectasis (Vachal, 1911)",NA,NA,NA
"32","Colletes ravulus Noskiewicz, 1936",NA,NA,NA
"33","Xylocopa fortuita Melo, 2017",NA,NA,NA
"34","Andrena lijiangensis Wu, 1993",NA,NA,NA
"35","Megalopta xavante Santos and Melo, 2014",NA,NA,NA
"36","Hylaeus oromialis Dathe, 2014",NA,NA,NA
